#Number of Samples: 1
#Total Number of Reads: 228951
#S1	sample_Nanopore_CDC_null_Viral_ref.bracken.kraken2.report.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	lvl_type	taxid	name
0.0009	2	0	2	0	G	2035712	              Guyparkeria
0.0009	2	2	2	2	S	47960	                Guyparkeria halophila
0.0175	40	2	40	2	O	135622	          Alteromonadales
0.0131	30	0	30	0	F	267893	            Idiomarinaceae
0.0131	30	0	30	0	G	135575	              Idiomarina
0.0131	30	30	30	30	S	135577	                Idiomarina loihiensis
0.0031	7	0	7	0	F	267890	            Shewanellaceae
0.0031	7	1	7	1	G	22	              Shewanella
0.0013	3	3	3	3	S	1965282	                Shewanella khirikhana
0.0004	1	1	1	1	S	2726434	                Shewanella oncorhynchi
0.0004	1	1	1	1	S	2814294	                Shewanella avicenniae
0.0004	1	1	1	1	S	558541	                Shewanella chilikensis
0.0004	1	0	1	0	F	267888	            Pseudoalteromonadaceae
0.0004	1	0	1	0	G	53246	              Pseudoalteromonas
0.0004	1	0	1	0	G1	194690	                unclassified Pseudoalteromonas
0.0004	1	1	1	1	S	1514074	                  Pseudoalteromonas sp. NC201
0.0009	2	0	2	0	O	3085109	          Thiohalobacterales
0.0009	2	0	2	0	F	3085110	            Thiohalobacteraceae
0.0009	2	1	2	1	G	1273155	              Thiohalobacter
0.0004	1	0	1	0	G1	2631224	                unclassified Thiohalobacter
0.0004	1	1	1	1	S	2795687	                  Thiohalobacter sp. COW1
0.0004	1	0	1	0	O	3060226	          Steroidobacterales
0.0004	1	0	1	0	F	2689614	            Steroidobacteraceae
0.0004	1	0	1	0	G	469322	              Steroidobacter
0.0004	1	1	1	1	S	465721	                Steroidobacter denitrificans
20.5459	47040	14	47040	14	C	28216	        Betaproteobacteria
13.9008	31826	8	31826	8	O	80840	          Burkholderiales
7.2164	16522	21	16522	21	F	80864	            Comamonadaceae
2.8932	6624	0	6624	0	G	12916	              Acidovorax
2.8880	6612	6612	6612	6612	S	80878	                Acidovorax temperans
0.0039	9	0	9	0	G1	2684926	                unclassified Acidovorax
0.0017	4	4	4	4	S	2714923	                  Acidovorax sp. HDW3
0.0009	2	2	2	2	S	3095606	                  Acidovorax sp. DW039
0.0009	2	2	2	2	S	1842533	                  Acidovorax sp. RAC01
0.0004	1	1	1	1	S	2940492	                  Acidovorax sp. GBBC 1281
0.0013	3	3	3	3	S	553814	                Acidovorax carolinensis
2.0751	4751	4	4751	4	G	283	              Comamonas
1.2749	2919	2919	2919	2919	S	225991	                Comamonas aquatica
0.6980	1598	1598	1598	1598	S	379895	                Comamonas odontotermitis
0.0751	172	172	172	172	S	1082851	                Comamonas serinivorans
0.0127	29	29	29	29	S	1562974	                Comamonas piscis
0.0035	8	0	8	0	G1	2638500	                unclassified Comamonas
0.0017	4	4	4	4	S	2853257	                  Comamonas sp. Y33R10-2
0.0013	3	3	3	3	S	2853163	                  Comamonas sp. NLF-1-9
0.0004	1	1	1	1	S	2918299	                  Comamonas sp. B21-038
0.0022	5	5	5	5	S	2949090	                Comamonas endophytica
0.0017	4	4	4	4	S	225992	                Comamonas kerstersii
0.0017	4	4	4	4	S	285	                Comamonas testosteroni
0.0009	2	2	2	2	S	3046670	                Comamonas resistens
0.0009	2	0	2	0	S	32013	                Comamonas terrigena
0.0009	2	2	2	2	S1	1219032	                  Comamonas terrigena NBRC 13299
0.0004	1	1	1	1	S	2796366	                Comamonas fluminis
0.0004	1	1	1	1	S	2743470	                Comamonas antarctica
0.0004	1	1	1	1	S	2597701	                Comamonas flocculans
0.0004	1	1	1	1	S	363952	                Comamonas thiooxydans
0.6460	1479	1	1479	1	G	219181	              Ottowia
0.4608	1055	1055	1055	1055	S	2109914	                Ottowia oryzae
0.1830	419	419	419	419	S	2816950	                Ottowia testudinis
0.0017	4	0	4	0	G1	2645081	                unclassified Ottowia
0.0013	3	3	3	3	S	3081231	                  Ottowia sp. SB7-C50
0.0004	1	1	1	1	S	1658672	                  Ottowia sp. oral taxon 894
0.6207	1421	14	1421	14	G	34072	              Variovorax
0.6058	1387	14	1387	14	S	34073	                Variovorax paradoxus
0.5988	1371	1371	1371	1371	S1	1246301	                  Variovorax paradoxus B4
0.0009	2	2	2	2	S1	595537	                  Variovorax paradoxus EPS
0.0070	16	4	16	4	G1	663243	                unclassified Variovorax
0.0017	4	4	4	4	S	2762322	                  Variovorax sp. PAMC26660
0.0013	3	3	3	3	S	2762323	                  Variovorax sp. PAMC28562
0.0009	2	2	2	2	S	1034889	                  Variovorax sp. HW608
0.0004	1	1	1	1	S	207745	                  Variovorax sp. WDL1
0.0004	1	1	1	1	S	1795631	                  Variovorax sp. PAMC 28711
0.0004	1	1	1	1	S	282217	                  Variovorax sp. SRS16
0.0017	4	4	4	4	S	436515	                Variovorax boronicumulans
0.2573	589	0	589	0	G	1649468	              Melaminivora
0.2367	542	542	542	542	S	2109913	                Melaminivora suipulveris
0.0205	47	47	47	47	S	1267217	                Melaminivora jejuensis
0.2511	575	0	575	0	G	3051138	              Paenacidovorax
0.2511	575	575	575	575	S	1926868	                Paenacidovorax monticola
0.1651	378	2	378	2	G	238749	              Diaphorobacter
0.1376	315	315	315	315	S	164759	                Diaphorobacter nitroreducens
0.0188	43	43	43	43	S	1288495	                Diaphorobacter aerolatus
0.0048	11	2	11	2	G1	2649760	                unclassified Diaphorobacter
0.0017	4	4	4	4	S	2714924	                  Diaphorobacter sp. HDW4A
0.0009	2	2	2	2	S	2866628	                  Diaphorobacter sp. MNS-0
0.0004	1	1	1	1	S	3060154	                  Diaphorobacter sp. C33
0.0004	1	1	1	1	S	3016636	                  Diaphorobacter sp. ED-3
0.0004	1	1	1	1	S	2714925	                  Diaphorobacter sp. HDW4B
0.0013	3	3	3	3	S	3036128	                Diaphorobacter limosus
0.0013	3	3	3	3	S	1715720	                Diaphorobacter ruginosibacter
0.0004	1	0	1	0	S	721785	                [Acidovorax] ebreus
0.0004	1	1	1	1	S1	535289	                  [Acidovorax] ebreus TPSY
0.1603	367	0	367	0	G	2678886	              Pulveribacter
0.1603	367	367	367	367	S	2116657	                Pulveribacter suum
0.0559	128	2	128	2	G	47420	              Hydrogenophaga
0.0210	48	4	48	4	G1	2610897	                unclassified Hydrogenophaga
0.0105	24	24	24	24	S	2806347	                  Hydrogenophaga sp. SL48
0.0031	7	7	7	7	S	1842537	                  Hydrogenophaga sp. RAC07
0.0017	4	4	4	4	S	2651974	                  Hydrogenophaga sp. BPS33
0.0013	3	3	3	3	S	795665	                  Hydrogenophaga sp. PBC
0.0009	2	2	2	2	S	2565558	                  Hydrogenophaga sp. PAMC20947
0.0009	2	2	2	2	S	434010	                  Hydrogenophaga sp. PBL-H3
0.0004	1	1	1	1	S	3098762	                  Hydrogenophaga sp. SNF1
0.0004	1	1	1	1	S	2184519	                  Hydrogenophaga sp. NH-16
0.0175	40	40	40	40	S	65656	                Hydrogenophaga taeniospiralis
0.0162	37	37	37	37	S	1763535	                Hydrogenophaga crassostreae
0.0004	1	0	1	0	G1	199682	                environmental samples
0.0004	1	1	1	1	S	199683	                  uncultured Hydrogenophaga sp.
0.0397	91	0	91	0	G	28065	              Rhodoferax
0.0367	84	84	84	84	S	1842727	                Rhodoferax koreense
0.0013	3	0	3	0	G1	2627954	                unclassified Rhodoferax
0.0013	3	3	3	3	S	2741720	                  Rhodoferax sp. BAB1
0.0009	2	2	2	2	S	1484693	                Rhodoferax saidenbachensis
0.0004	1	1	1	1	S	81479	                Rhodoferax antarcticus
0.0004	1	0	1	0	G1	54524	                environmental samples
0.0004	1	1	1	1	S	223188	                  uncultured Rhodoferax sp.
0.0336	77	0	77	0	G	52972	              Polaromonas
0.0336	77	0	77	0	S	216465	                Polaromonas naphthalenivorans
0.0336	77	77	77	77	S1	365044	                  Polaromonas naphthalenivorans CJ2
0.0022	5	0	5	0	G	80865	              Delftia
0.0013	3	3	3	3	S	180282	                Delftia tsuruhatensis
0.0009	2	2	2	2	S	80866	                Delftia acidovorans
0.0017	4	1	4	1	G	3051137	              Paracidovorax
0.0009	2	2	2	2	S	80869	                Paracidovorax citrulli
0.0004	1	1	1	1	S	80867	                Paracidovorax avenae
0.0013	3	0	3	0	G	201096	              Alicycliphilus
0.0013	3	0	3	0	S	179636	                Alicycliphilus denitrificans
0.0009	2	2	2	2	S1	596153	                  Alicycliphilus denitrificans BC
0.0004	1	1	1	1	S1	596154	                  Alicycliphilus denitrificans K601
0.0009	2	0	2	0	G	1436289	              Candidatus Symbiobacter
0.0009	2	0	2	0	S	1436290	                Candidatus Symbiobacter mobilis
0.0009	2	2	2	2	S1	946483	                  Candidatus Symbiobacter mobilis CR
0.0009	2	0	2	0	G	2490452	              Serpentinimonas
0.0009	2	2	2	2	S	1458425	                Serpentinimonas raichei
0.0009	2	0	2	0	G	352450	              Simplicispira
0.0009	2	2	2	2	S	2109915	                Simplicispira suum
0.0004	1	0	1	0	G	232523	              Hylemonella
0.0004	1	1	1	1	S	80880	                Hylemonella gracilis
0.0004	1	0	1	0	G	665874	              Limnohabitans
0.0004	1	0	1	0	G1	2626134	                unclassified Limnohabitans
0.0004	1	1	1	1	S	1678129	                  Limnohabitans sp. 103DPR2
0.0004	1	0	1	0	G	174951	              Ramlibacter
0.0004	1	1	1	1	S	94132	                Ramlibacter tataouinensis
2.5420	5820	0	5820	0	F	506	            Alcaligenaceae
1.9760	4524	181	4524	181	G	222	              Achromobacter
0.5014	1148	1148	1148	1148	S	217203	                Achromobacter spanius
0.4119	943	81	943	81	G1	2626865	                unclassified Achromobacter
0.1393	319	319	319	319	S	1758194	                  Achromobacter sp. AONIH1
0.1022	234	234	234	234	S	2860286	                  Achromobacter sp. ES-001
0.0729	167	167	167	167	S	2282475	                  Achromobacter sp. B7
0.0371	85	85	85	85	S	1881016	                  Achromobacter sp. MFA1 R4
0.0175	40	40	40	40	S	2756133	                  Achromobacter sp. 77
0.0074	17	17	17	17	S	3141581	                  Achromobacter sp. E1
0.3009	689	689	689	689	S	3047478	                Achromobacter seleniivolatilans
0.2337	535	535	535	535	S	1353891	                Achromobacter deleyi
0.2101	481	44	481	44	S	85698	                Achromobacter xylosoxidans
0.1909	437	437	437	437	S1	762376	                  Achromobacter xylosoxidans A8
0.0926	212	212	212	212	S	217204	                Achromobacter insolitus
0.0677	155	155	155	155	S	32002	                Achromobacter denitrificans
0.0459	105	105	105	105	S	2069367	                Achromobacter veterisilvae
0.0310	71	71	71	71	S	1353889	                Achromobacter pestifer
0.0013	3	3	3	3	S	72557	                Achromobacter ruhlandii
0.0004	1	1	1	1	S	1389922	                Achromobacter mucicolens
0.3437	787	0	787	0	G	1921582	              Orrella
0.3437	787	787	787	787	S	2163011	                Orrella marina
0.1210	277	2	277	2	G	507	              Alcaligenes
0.0856	196	196	196	196	S	511	                Alcaligenes faecalis
0.0345	79	79	79	79	S	323284	                Alcaligenes aquatilis
0.0725	166	0	166	0	G	152267	              Pigmentiphaga
0.0725	166	166	166	166	S	1940612	                Pigmentiphaga aceris
0.0266	61	0	61	0	G	290425	              Advenella
0.0262	60	0	60	0	S	302406	                Advenella mimigardefordensis
0.0262	60	60	60	60	S1	1247726	                  Advenella mimigardefordensis DPN7
0.0004	1	1	1	1	S	1481665	                Advenella alkanexedens
0.0009	2	0	2	0	G	2987605	              Neopusillimonas
0.0009	2	2	2	2	S	2979868	                Neopusillimonas aromaticivorans
0.0009	2	0	2	0	G	2987599	              Pollutimonas
0.0009	2	2	2	2	S	2028345	                Pollutimonas thiosulfatoxidans
0.0004	1	0	1	0	G	517	              Bordetella
0.0004	1	0	1	0	G1	2630031	                unclassified Bordetella
0.0004	1	1	1	1	S	1697043	                  Bordetella sp. H567
1.7283	3957	0	3957	0	O1	224471	            Burkholderiales genera incertae sedis
1.0033	2297	0	2297	0	G	32012	              Thiomonas
0.5250	1202	1202	1202	1202	S	426114	                Thiomonas arsenitoxydans
0.4783	1095	1095	1095	1095	S	926	                Thiomonas intermedia
0.4097	938	0	938	0	G	54066	              Xylophilus
0.4097	938	938	938	938	S	2697032	                Xylophilus rhododendri
0.3154	722	0	722	0	G	92793	              Aquabacterium
0.3136	718	718	718	718	S	1296669	                Aquabacterium olei
0.0017	4	0	4	0	G1	2620789	                unclassified Aquabacterium
0.0017	4	4	4	4	S	2898431	                  Aquabacterium sp. J223
1.2824	2936	2	2936	2	F	119060	            Burkholderiaceae
0.4045	926	1	926	1	G	106589	              Cupriavidus
0.1904	436	436	436	436	S	2608999	                Cupriavidus cauae
0.1856	425	418	425	418	S	106590	                Cupriavidus necator
0.0031	7	7	7	7	S1	1042878	                  Cupriavidus necator N-1
0.0240	55	55	55	55	S	82541	                Cupriavidus gilardii
0.0013	3	3	3	3	S	68895	                Cupriavidus basilensis
0.0009	2	2	2	2	S	151783	                Cupriavidus campinensis
0.0009	2	2	2	2	S	82633	                Cupriavidus pauculus
0.0004	1	0	1	0	G1	2640874	                unclassified Cupriavidus
0.0004	1	1	1	1	S	2027911	                  Cupriavidus sp. P-10
0.0004	1	1	1	1	S	164546	                Cupriavidus taiwanensis
0.2926	670	2	670	2	G	93217	              Pandoraea
0.2594	594	594	594	594	S	656179	                Pandoraea faecigallinarum
0.0214	49	49	49	49	S	93219	                Pandoraea norimbergensis
0.0096	22	22	22	22	S	93220	                Pandoraea pnomenusa
0.0004	1	1	1	1	S	2508289	                Pandoraea commovens
0.0004	1	1	1	1	S	1891094	                Pandoraea fibrosis
0.0004	1	1	1	1	S	93222	                Pandoraea sputorum
0.2787	638	0	638	0	G	32008	              Burkholderia
0.1970	451	451	451	451	S	2615214	                Burkholderia perseverans
0.0699	160	160	160	160	S	41899	                Burkholderia plantarii
0.0118	27	2	27	2	G1	87882	                Burkholderia cepacia complex
0.0057	13	13	13	13	S	60552	                  Burkholderia vietnamiensis
0.0022	5	5	5	5	S	87883	                  Burkholderia multivorans
0.0013	3	0	3	0	S	95486	                  Burkholderia cenocepacia
0.0013	3	3	3	3	S1	331272	                    Burkholderia cenocepacia HI2424
0.0013	3	3	3	3	S	60550	                  Burkholderia pyrrocinia
0.0004	1	1	1	1	S	152500	                  Burkholderia dolosa
0.1503	344	0	344	0	G	1822464	              Paraburkholderia
0.1328	304	304	304	304	S	2861782	                Paraburkholderia edwinii
0.0131	30	30	30	30	S	311230	                Paraburkholderia terrae
0.0022	5	5	5	5	S	2604047	                Paraburkholderia dioscoreae
0.0009	2	2	2	2	S	92647	                Paraburkholderia tropica
0.0004	1	0	1	0	S	261302	                Paraburkholderia phytofirmans
0.0004	1	1	1	1	S1	398527	                  Paraburkholderia phytofirmans PsJN
0.0004	1	1	1	1	S	2026199	                Paraburkholderia aromaticivorans
0.0004	1	1	1	1	S	2547399	                Paraburkholderia pallida
0.0926	212	0	212	0	G	48736	              Ralstonia
0.0712	163	163	163	163	S	105219	                Ralstonia mannitolilytica
0.0210	48	0	48	0	G1	3116862	                Ralstonia solanacearum species complex
0.0201	46	39	46	39	S	28097	                  Ralstonia syzygii
0.0017	4	4	4	4	S1	907261	                    Ralstonia syzygii R24
0.0013	3	3	3	3	S1	1310168	                    Ralstonia syzygii subsp. celebesensis
0.0009	2	2	2	2	S	305	                  Ralstonia solanacearum
0.0004	1	1	1	1	S	329	                Ralstonia pickettii
0.0363	83	0	83	0	G	44013	              Polynucleobacter
0.0301	69	69	69	69	S	576610	                Polynucleobacter necessarius
0.0052	12	0	12	0	G1	2640945	                unclassified Polynucleobacter
0.0017	4	4	4	4	S	2982615	                  Polynucleobacter sp. KF022
0.0009	2	2	2	2	S	1855909	                  Polynucleobacter sp. MWH-Svant-W18
0.0009	2	2	2	2	S	1758395	                  Polynucleobacter sp. JS-JIR-5-A7
0.0004	1	1	1	1	S	2689109	                  Polynucleobacter sp. MWH-Spelu-300-X4
0.0004	1	1	1	1	S	2770234	                  Polynucleobacter sp. Adler-ghost
0.0004	1	1	1	1	S	2689107	                  Polynucleobacter sp. MWH-CaK5
0.0004	1	1	1	1	S	1758374	                  Polynucleobacter sp. TSB-Sco08W16
0.0009	2	2	2	2	S	1743159	                Polynucleobacter yangtzensis
0.0258	59	0	59	0	G	1827195	              Caballeronia
0.0258	59	59	59	59	S	758793	                Caballeronia insecticola
0.0004	1	0	1	0	G	1810868	              Mycoavidus
0.0004	1	1	1	1	S	1553431	                Mycoavidus cysteinexigens
0.0004	1	0	1	0	G	47670	              Lautropia
0.0004	1	1	1	1	S	47671	                Lautropia mirabilis
0.4267	977	0	977	0	F	75682	            Oxalobacteraceae
0.3376	773	2	773	2	G	202907	              Collimonas
0.1371	314	314	314	314	S	279113	                Collimonas pratensis
0.1179	270	119	270	119	S	158899	                Collimonas fungivorans
0.0660	151	151	151	151	S1	1005048	                  Collimonas fungivorans Ter331
0.0817	187	187	187	187	S	279058	                Collimonas arenae
0.0668	153	0	153	0	F1	2895353	              Telluria group
0.0568	130	0	130	0	G	1522432	                Pseudoduganella
0.0485	111	111	111	111	S	864828	                  Pseudoduganella umbonata
0.0044	10	10	10	10	S	321985	                  Pseudoduganella lutea
0.0035	8	8	8	8	S	2072590	                  Pseudoduganella armeniaca
0.0004	1	1	1	1	S	321983	                  Pseudoduganella albidiflava
0.0100	23	0	23	0	G	149698	                Massilia
0.0057	13	13	13	13	S	2045208	                  Massilia violaceinigra
0.0017	4	4	4	4	S	2728020	                  Massilia forsythiae
0.0017	4	4	4	4	S	1141883	                  Massilia putida
0.0009	2	1	2	1	G1	2609279	                  unclassified Massilia
0.0004	1	1	1	1	S	1707785	                    Massilia sp. WG5
0.0223	51	0	51	0	G	29580	              Janthinobacterium
0.0096	22	22	22	22	S	2590869	                Janthinobacterium tructae
0.0083	19	19	19	19	S	368607	                Janthinobacterium svalbardensis
0.0039	9	0	9	0	G1	2610881	                unclassified Janthinobacterium
0.0017	4	4	4	4	S	2861284	                  Janthinobacterium sp. PAMC25594
0.0017	4	4	4	4	S	1938606	                  Janthinobacterium sp. LM6
0.0004	1	1	1	1	S	3065910	                  Janthinobacterium sp. J1-1
0.0004	1	1	1	1	S	2751478	                Janthinobacterium rivuli
0.3739	856	0	856	0	F	2975441	            Sphaerotilaceae
0.2477	567	0	567	0	G	1114981	              Piscinibacter
0.2472	566	566	566	566	S	946333	                Piscinibacter gummiphilus
0.0004	1	0	1	0	G1	2627988	                unclassified Piscinibacter
0.0004	1	1	1	1	S	3037797	                  Piscinibacter sp. XHJ-5
0.0791	181	0	181	0	G	644355	              Inhella
0.0791	181	181	181	181	S	392593	                Inhella inkyongensis
0.0201	46	0	46	0	G	88	              Leptothrix
0.0201	46	0	46	0	S	34029	                Leptothrix cholodnii
0.0201	46	46	46	46	S1	395495	                  Leptothrix cholodnii SP-6
0.0170	39	0	39	0	G	28067	              Rubrivivax
0.0170	39	0	39	0	S	28068	                Rubrivivax gelatinosus
0.0170	39	39	39	39	S1	983917	                  Rubrivivax gelatinosus IL144
0.0096	22	0	22	0	G	196013	              Caldimonas
0.0048	11	11	11	11	S	413882	                Caldimonas brevitalea
0.0039	9	9	9	9	S	215580	                Caldimonas thermodepolymerans
0.0009	2	2	2	2	S	376175	                Schlegelella aquatica
0.0004	1	0	1	0	G	36862	              Ideonella
0.0004	1	1	1	1	S	36863	                Ideonella dechloratans
0.3276	750	0	750	0	F	995019	            Sutterellaceae
0.2774	635	0	635	0	G	1980697	              Duodenibacillus
0.2774	635	635	635	635	S	1852381	                Duodenibacillus massiliensis
0.0502	115	0	115	0	G	40544	              Sutterella
0.0502	115	115	115	115	S	2584944	                Sutterella faecalis
4.3031	9852	1	9852	1	O	206351	          Neisseriales
3.3282	7620	1	7620	1	F	481	            Neisseriaceae
2.6822	6141	0	6141	0	G	299568	              Uruburuella
2.2332	5113	5113	5113	5113	S	252130	                Uruburuella suis
0.4490	1028	1028	1028	1028	S	1282863	                Uruburuella testudinis
0.4158	952	0	952	0	G	2944815	              Wielerella
0.4158	952	952	952	952	S	2917790	                Wielerella bovis
0.1629	373	0	373	0	G	194195	              Alysiella
0.1629	373	373	373	373	S	153491	                Alysiella crassa
0.0376	86	0	86	0	G	32257	              Kingella
0.0363	83	83	83	83	S	1522312	                Kingella negevensis
0.0013	3	3	3	3	S	504	                Kingella kingae
0.0280	64	0	64	0	G	2898489	              Paralysiella
0.0280	64	64	64	64	S	2809020	                Paralysiella testudinis
0.0013	3	0	3	0	G	1193515	              Snodgrassella
0.0013	3	3	3	3	S	1196083	                Snodgrassella alvi
0.7862	1800	0	1800	0	F	1499392	            Chromobacteriaceae
0.5316	1217	170	1217	170	G	535	              Chromobacterium
0.4328	991	991	991	991	S	1778675	                Chromobacterium rhizoryzae
0.0131	30	30	30	30	S	394935	                Chromobacterium haemolyticum
0.0048	11	1	11	1	G1	2641838	                unclassified Chromobacterium
0.0035	8	8	8	8	S	2735795	                  Chromobacterium sp. Beijing
0.0004	1	1	1	1	S	2953890	                  Chromobacterium sp. IIBBL 290-4
0.0004	1	1	1	1	S	2059672	                  Chromobacterium sp. ATCC 53434
0.0026	6	6	6	6	S	251747	                Chromobacterium subtsugae
0.0013	3	3	3	3	S	2202141	                Chromobacterium phragmitis
0.0013	3	2	3	2	S	536	                Chromobacterium violaceum
0.0004	1	1	1	1	S1	243365	                  Chromobacterium violaceum ATCC 12472
0.0009	2	2	2	2	S	1108595	                Chromobacterium vaccinii
0.0004	1	1	1	1	S	1382803	                Chromobacterium amazonense
0.2463	564	0	564	0	G	400060	              Paludibacterium
0.2184	500	500	500	500	S	1225769	                Paludibacterium paludis
0.0280	64	64	64	64	S	400061	                Paludibacterium yongneupense
0.0079	18	0	18	0	G	407217	              Aquitalea
0.0079	18	18	18	18	S	1537400	                Aquitalea aquatilis
0.0004	1	0	1	0	G	568394	              Pseudogulbenkiania
0.0004	1	0	1	0	G1	2642558	                unclassified Pseudogulbenkiania
0.0004	1	1	1	1	S	748280	                  Pseudogulbenkiania sp. NH8B
0.1878	430	0	430	0	F	2897177	            Chitinibacteraceae
0.0978	224	0	224	0	G	400947	              Deefgea
0.0978	224	224	224	224	S	2865840	                Deefgea tanakiae
0.0843	193	0	193	0	G	240411	              Chitinimonas
0.0843	193	193	193	193	S	356302	                Chitinimonas koreensis
0.0057	13	0	13	0	G	1055692	              Chitinolyticbacter
0.0057	13	13	13	13	S	682798	                Chitinolyticbacter meiyuanensis
0.0004	1	0	1	0	F	2897176	            Aquaspirillaceae
0.0004	1	0	1	0	G	57479	              Microvirgula
0.0004	1	1	1	1	S	57480	                Microvirgula aerodenitrificans
1.3972	3199	0	3199	0	O	206389	          Rhodocyclales
1.3710	3139	0	3139	0	F	2008794	            Zoogloeaceae
1.1714	2682	0	2682	0	G	2891323	              Pseudazoarcus
1.1714	2682	2682	2682	2682	S	2067960	                Pseudazoarcus pumilus
0.1660	380	0	380	0	G	2891324	              Pseudothauera
0.1660	380	380	380	380	S	2184083	                Pseudothauera hydrothermalis
0.0253	58	1	58	1	G	33057	              Thauera
0.0149	34	34	34	34	S	1134435	                Thauera humireducens
0.0087	20	20	20	20	S	96773	                Thauera chlorobenzoica
0.0009	2	0	2	0	G1	2609274	                unclassified Thauera
0.0009	2	2	2	2	S	3142262	                  Thauera sp. JM12B12
0.0004	1	0	1	0	S	59405	                Thauera aromatica
0.0004	1	1	1	1	S1	44139	                  Thauera aromatica K172
0.0079	18	0	18	0	G	12960	              Azoarcus
0.0079	18	0	18	0	G1	2629479	                unclassified Azoarcus
0.0079	18	18	18	18	S	356837	                  Azoarcus sp. DN11
0.0004	1	0	1	0	G	2891294	              Nitrogeniibacter
0.0004	1	1	1	1	S	2016596	                Nitrogeniibacter mangrovi
0.0249	57	0	57	0	F	75787	            Rhodocyclaceae
0.0122	28	0	28	0	G	551759	              Aromatoleum
0.0118	27	27	27	27	S	76115	                Aromatoleum bremense
0.0004	1	1	1	1	S	551760	                Aromatoleum aromaticum
0.0066	15	0	15	0	G	1769726	              Niveibacterium
0.0066	15	15	15	15	S	2811415	                Niveibacterium microcysteis
0.0061	14	0	14	0	G	146937	              Azospira
0.0035	8	0	8	0	S	146939	                Azospira oryzae
0.0035	8	8	8	8	S1	640081	                  Azospira oryzae PS
0.0026	6	0	6	0	G1	2609269	                unclassified Azospira
0.0026	6	6	6	6	S	1765049	                  Azospira sp. I09
0.0013	3	0	3	0	F	2008795	            Azonexaceae
0.0013	3	0	3	0	G	88875	              Ferribacterium
0.0013	3	3	3	3	S	76259	                Ferribacterium limneticum
0.8692	1990	0	1990	0	O	32003	          Nitrosomonadales
0.4363	999	0	999	0	F	90627	            Gallionellaceae
0.3206	734	0	734	0	G	2943286	              Sideroxyarcus
0.3206	734	734	734	734	S	2764705	                Sideroxyarcus emersonii
0.1109	254	0	254	0	G	2249462	              Ferrigenium
0.1109	254	254	254	254	S	1682490	                Ferrigenium kumadai
0.0026	6	0	6	0	G	1443590	              Ferriphaselus
0.0026	6	6	6	6	S	1188319	                Ferriphaselus amnicola
0.0013	3	0	3	0	G	96	              Gallionella
0.0013	3	0	3	0	S	370405	                Gallionella capsiferriformans
0.0013	3	3	3	3	S1	395494	                  Gallionella capsiferriformans ES-2
0.0009	2	0	2	0	G	314343	              Sideroxydans
0.0009	2	0	2	0	S	63745	                Sideroxydans lithotrophicus
0.0009	2	2	2	2	S1	580332	                  Sideroxydans lithotrophicus ES-1
0.1520	348	1	348	1	F	32011	            Methylophilaceae
0.1149	263	3	263	3	G	16	              Methylophilus
0.1022	234	234	234	234	S	17	                Methylophilus methylotrophus
0.0070	16	0	16	0	G1	2630143	                unclassified Methylophilus
0.0066	15	15	15	15	S	1662285	                  Methylophilus sp. TWE2
0.0004	1	1	1	1	S	3095607	                  Methylophilus sp. DW102
0.0044	10	10	10	10	S	2588534	                Methylophilus medardicus
0.0306	70	1	70	1	G	359407	              Methylotenera
0.0179	41	0	41	0	S	1055487	                Methylotenera versatilis
0.0179	41	41	41	41	S1	666681	                  Methylotenera versatilis 301
0.0122	28	0	28	0	S	359408	                Methylotenera mobilis
0.0122	28	28	28	28	S1	583345	                  Methylotenera mobilis JLW8
0.0039	9	1	9	1	G	1679002	              Candidatus Methylopumilus
0.0017	4	4	4	4	S	2588536	                Candidatus Methylopumilus universalis
0.0013	3	3	3	3	S	1581680	                Candidatus Methylopumilus turicensis
0.0004	1	1	1	1	S	2588535	                Candidatus Methylopumilus rimovensis
0.0017	4	0	4	0	G	81682	              Methylovorus
0.0013	3	0	3	0	G1	2634027	                unclassified Methylovorus
0.0013	3	3	3	3	S	887061	                  Methylovorus sp. MP688
0.0004	1	0	1	0	S	266009	                Methylovorus glucosotrophus
0.0004	1	1	1	1	S1	582744	                  Methylovorus glucosotrophus SIP3-4
0.0004	1	0	1	0	G	2872156	              Methyloradius
0.0004	1	1	1	1	S	2778876	                Methyloradius palustris
0.1192	273	0	273	0	F	2008793	            Sterolibacteriaceae
0.0782	179	0	179	0	G	1054211	              Sulfuritalea
0.0782	179	0	179	0	S	748811	                Sulfuritalea hydrogenivorans
0.0782	179	179	179	179	S1	1223802	                  Sulfuritalea hydrogenivorans sk43H
0.0227	52	0	52	0	G	157591	              Sterolibacterium
0.0227	52	52	52	52	S	157592	                Sterolibacterium denitrificans
0.0096	22	0	22	0	G	311181	              Denitratisoma
0.0096	22	22	22	22	S	311182	                Denitratisoma oestradiolicum
0.0087	20	0	20	0	G	1914449	              Rugosibacter
0.0087	20	20	20	20	S	1565605	                Rugosibacter aromaticivorans
0.0677	155	0	155	0	F	2772226	            Sulfuricellaceae
0.0559	128	0	128	0	G	935200	              Sulfuricella
0.0559	128	0	128	0	S	649841	                Sulfuricella denitrificans
0.0559	128	128	128	128	S1	1163617	                  Sulfuricella denitrificans skB26
0.0118	27	0	27	0	G	2772198	              Sulfurimicrobium
0.0118	27	27	27	27	S	2715678	                Sulfurimicrobium lacus
