#Number of Samples: 1
#Total Number of Reads: 228951
#S1	sample_Nanopore_CDC_null_Viral_ref.bracken.kraken2.report.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	lvl_type	taxid	name
0.0017	4	0	4	0	G1	2636213	                unclassified Nissabacter
0.0017	4	4	4	4	S	2126321	                  Nissabacter sp. SGAir0207
0.1415	324	0	324	0	F	1903410	            Pectobacteriaceae
0.1131	259	4	259	4	G	122277	              Pectobacterium
0.1096	251	251	251	251	S	180957	                Pectobacterium brasiliense
0.0009	2	2	2	2	S	554	                Pectobacterium carotovorum
0.0004	1	1	1	1	S	78398	                Pectobacterium odoriferum
0.0004	1	1	1	1	S	29471	                Pectobacterium atrosepticum
0.0245	56	1	56	1	G	204037	              Dickeya
0.0236	54	54	54	54	S	1778540	                Dickeya fangzhongdai
0.0004	1	1	1	1	S	204042	                Dickeya zeae
0.0039	9	0	9	0	G	2884243	              Musicola
0.0039	9	9	9	9	S	69223	                Musicola paradisiaca
0.0017	4	0	4	0	F	1903412	            Hafniaceae
0.0017	4	0	4	0	G	568	              Hafnia
0.0017	4	4	4	4	S	569	                Hafnia alvei
0.0013	3	0	3	0	F	1903414	            Morganellaceae
0.0004	1	0	1	0	G	29487	              Photorhabdus
0.0004	1	1	1	1	S	230089	                Photorhabdus thracensis
0.0004	1	1	1	1	G	637	              Arsenophonus
0.0004	1	0	1	0	G	626	              Xenorhabdus
0.0004	1	1	1	1	S	351671	                Xenorhabdus doucetiae
0.0004	1	0	1	0	F	1903416	            Budviciaceae
0.0004	1	0	1	0	G	82980	              Leminorella
0.0004	1	1	1	1	S	158841	                Leminorella richardii
4.6337	10609	0	10609	0	O	72274	          Pseudomonadales
4.6333	10608	7	10608	7	F	135621	            Pseudomonadaceae
4.5066	10318	81	10318	81	G	286	              Pseudomonas
1.3466	3083	92	3083	92	G1	196821	                unclassified Pseudomonas
0.5486	1256	1256	1256	1256	S	2730847	                  Pseudomonas sp. ADAK13
0.4010	918	918	918	918	S	3019968	                  Pseudomonas sp. MM227
0.0511	117	117	117	117	S	3136561	                  Pseudomonas sp. TMP25
0.0288	66	66	66	66	S	2931382	                  Pseudomonas sp. PIA16
0.0266	61	61	61	61	S	3048607	                  Pseudomonas sp. CCC3.1
0.0188	43	43	43	43	S	2972478	                  Pseudomonas sp. LS1212
0.0183	42	42	42	42	S	2866808	                  Pseudomonas sp. MM211
0.0166	38	38	38	38	S	1855380	                  Pseudomonas sp. Z003-0.4C(8344-21)
0.0140	32	32	32	32	S	1898684	                  Pseudomonas sp. LPH1
0.0122	28	28	28	28	S	2735906	                  Pseudomonas sp. B11D7D
0.0118	27	27	27	27	S	2855434	                  Pseudomonas sp. AO-1
0.0105	24	24	24	24	S	2895473	                  Pseudomonas sp. B21-015
0.0096	22	22	22	22	S	253237	                  Pseudomonas sp. phDV1
0.0096	22	22	22	22	S	3048613	                  Pseudomonas sp. CCI1.1
0.0092	21	21	21	21	S	2954094	                  Pseudomonas sp. FP453
0.0092	21	21	21	21	S	2664899	                  Pseudomonas sp. CFSAN084952
0.0092	21	21	21	21	S	2961531	                  Pseudomonas sp. KHPS1
0.0079	18	18	18	18	S	2921518	                  Pseudomonas sp. FSL L8-0168
0.0079	18	18	18	18	S	2730848	                  Pseudomonas sp. ADAK18
0.0070	16	16	16	16	S	2895490	                  Pseudomonas sp. B21-048
0.0061	14	14	14	14	S	2986947	                  Pseudomonas sp. WJP1
0.0044	10	10	10	10	S	2962597	                  Pseudomonas sp. Z8(2022)
0.0039	9	9	9	9	S	2605424	                  Pseudomonas sp. J380
0.0035	8	8	8	8	S	306	                  Pseudomonas sp.
0.0026	6	6	6	6	S	3020843	                  Pseudomonas sp. Q1-7
0.0026	6	6	6	6	S	3137451	                  Pseudomonas sp. G.S.17
0.0026	6	6	6	6	S	1856685	                  Pseudomonas sp. TCU-HL1
0.0022	5	5	5	5	S	2866592	                  Pseudomonas sp. Marseille-Q3773
0.0022	5	5	5	5	S	3110772	                  Pseudomonas sp. IT1137
0.0017	4	4	4	4	S	3048583	                  Pseudomonas sp. 10S4
0.0017	4	4	4	4	S	2871095	                  Pseudomonas sp. DR48
0.0017	4	4	4	4	S	1827300	                  Pseudomonas sp. MYb193
0.0017	4	4	4	4	S	2971912	                  Pseudomonas sp. CBS
0.0017	4	4	4	4	S	2678259	                  Pseudomonas sp. Seg1
0.0013	3	3	3	3	S	2973088	                  Pseudomonas sp. BW7P1
0.0013	3	3	3	3	S	2976884	                  Pseudomonas sp. FJ2-5-13
0.0013	3	3	3	3	S	2073078	                  Pseudomonas sp. DTU12.3
0.0013	3	3	3	3	S	1027966	                  Pseudomonas sp. HR96
0.0013	3	3	3	3	S	1206777	                  Pseudomonas sp. Lz4W
0.0013	3	3	3	3	S	2998079	                  Pseudomonas sp. GOM7
0.0009	2	2	2	2	S	2954079	                  Pseudomonas sp. FP1742
0.0009	2	2	2	2	S	2874628	                  Pseudomonas sp. p1(2021b)
0.0009	2	2	2	2	S	2893890	                  Pseudomonas sp. KNUC1026
0.0009	2	2	2	2	S	1294143	                  Pseudomonas sp. ATCC 13867
0.0009	2	2	2	2	S	2219057	                  Pseudomonas sp. LG1E9
0.0009	2	2	2	2	S	1534110	                  Pseudomonas sp. DR 5-09
0.0009	2	2	2	2	S	3074146	                  Pseudomonas sp. SG20056
0.0009	2	2	2	2	S	1506334	                  Pseudomonas sp. G2-4
0.0009	2	2	2	2	S	3002903	                  Pseudomonas sp. BSw22131
0.0009	2	2	2	2	S	3038925	                  Pseudomonas sp. 905_Psudmo1
0.0009	2	2	2	2	S	2954096	                  Pseudomonas sp. FP597
0.0009	2	2	2	2	S	2983246	                  Pseudomonas sp. SO81
0.0004	1	1	1	1	S	3043448	                  Pseudomonas sp. P9_31
0.0004	1	1	1	1	S	3127459	                  Pseudomonas sp. RSB 5.4
0.0004	1	1	1	1	S	1702250	                  Pseudomonas sp. IB20
0.0004	1	1	1	1	S	1758730	                  Pseudomonas sp. BIOMIG1BAC
0.0004	1	1	1	1	S	3048622	                  Pseudomonas sp. DC1.2
0.0004	1	1	1	1	S	658644	                  Pseudomonas sp. R5-89-07
0.0004	1	1	1	1	S	1028989	                  Pseudomonas sp. StFLB209
0.0004	1	1	1	1	S	1173270	                  Pseudomonas sp. R1-43-08
0.0004	1	1	1	1	S	3118752	                  Pseudomonas sp. WP18
0.0004	1	1	1	1	S	658630	                  Pseudomonas sp. CMR5c
0.0004	1	1	1	1	S	1173284	                  Pseudomonas sp. R3-52-08
0.0004	1	1	1	1	S	1173288	                  Pseudomonas sp. R4-39-08
0.0004	1	1	1	1	S	1207075	                  Pseudomonas sp. UW4
0.0004	1	1	1	1	S	520056	                  Pseudomonas sp. P13
0.0004	1	1	1	1	S	1283291	                  Pseudomonas sp. URMO17WK12:I11
0.0004	1	1	1	1	S	3090665	                  Pseudomonas sp. JS3066
0.0004	1	1	1	1	S	3087234	                  Pseudomonas sp. MUP55
0.0004	1	1	1	1	S	3077589	                  Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001
0.0004	1	1	1	1	S	528343	                  Pseudomonas sp. G11
0.0004	1	1	1	1	S	517398	                  Pseudomonas sp. D3
0.0004	1	1	1	1	S	3074147	                  Pseudomonas sp. SG20052
0.0004	1	1	1	1	S	1573718	                  Pseudomonas sp. S34
0.0004	1	1	1	1	S	3094846	                  Pseudomonas sp. G166
0.0004	1	1	1	1	S	2954093	                  Pseudomonas sp. FP2338
0.0004	1	1	1	1	S	2678260	                  Pseudomonas sp. Ost2
0.0004	1	1	1	1	S	2320270	                  Pseudomonas sp. DG56-2
0.0004	1	1	1	1	S	2697023	                  Pseudomonas sp. AN-B15
0.0004	1	1	1	1	S	2705472	                  Pseudomonas sp. MTM4
0.0004	1	1	1	1	S	2954087	                  Pseudomonas sp. FP2254
0.0004	1	1	1	1	S	2991051	                  Pseudomonas sp. KU26590
0.0004	1	1	1	1	S	2994661	                  Pseudomonas sp. SL4(2022)
0.0004	1	1	1	1	S	2738126	                  Pseudomonas sp. FP215
0.0004	1	1	1	1	S	3141539	                  Pseudomonas sp. F3-2
0.0004	1	1	1	1	S	3003351	                  Pseudomonas sp. GXZC
0.0004	1	1	1	1	S	3016341	                  Pseudomonas sp. PSE14
0.0004	1	1	1	1	S	2986927	                  Pseudomonas sp. BT-42-2
0.0004	1	1	1	1	S	2749808	                  Pseudomonas sp. Y5-11
0.0004	1	1	1	1	S	2804761	                  Pseudomonas sp. 15A4
0.0004	1	1	1	1	S	2898483	                  Pseudomonas sp. 7-41
0.0004	1	1	1	1	S	2895493	                  Pseudomonas sp. B21-053
0.0004	1	1	1	1	S	2829498	                  Pseudomonas sp. JS425
0.0004	1	1	1	1	S	3029060	                  Pseudomonas sp. PSKL.D1
0.0004	1	1	1	1	S	2895486	                  Pseudomonas sp. B21-040
0.0004	1	1	1	1	S	1981174	                  Pseudomonas sp. M30-35
0.0004	1	1	1	1	S	2870840	                  Pseudomonas sp. DR208
0.0004	1	1	1	1	S	2871493	                  Pseudomonas sp. SC3(2021)
0.0004	1	1	1	1	S	2614442	                  Pseudomonas sp. LPB0260
0.0004	1	1	1	1	S	2604941	                  Pseudomonas sp. C27(2019)
0.0004	1	1	1	1	S	2748080	                  Pseudomonas sp. ABC1
0.4809	1101	1101	1101	1101	S	640205	                Pseudomonas seleniipraecipitans
0.4136	947	0	947	0	G1	136843	                Pseudomonas fluorescens group
0.2210	506	506	506	506	S	29442	                  Pseudomonas tolaasii
0.0550	126	126	126	126	S	183795	                  Pseudomonas mediterranea
0.0476	109	109	109	109	S	76761	                  Pseudomonas veronii
0.0314	72	72	72	72	S	47878	                  Pseudomonas azotoformans
0.0245	56	56	56	56	S	47879	                  Pseudomonas corrugata
0.0153	35	35	35	35	S	75612	                  Pseudomonas mandelii
0.0079	18	18	18	18	S	76758	                  Pseudomonas orientalis
0.0066	15	15	15	15	S	47883	                  Pseudomonas synxantha
0.0017	4	3	4	3	S	294	                  Pseudomonas fluorescens
0.0004	1	1	1	1	S1	1221522	                    Pseudomonas fluorescens NCIMB 11764
0.0009	2	2	2	2	S	129817	                  Pseudomonas brenneri
0.0004	1	1	1	1	S	46679	                  Pseudomonas mucidolens
0.0004	1	1	1	1	S	198620	                  Pseudomonas koreensis
0.0004	1	1	1	1	S	200450	                  Pseudomonas trivialis
0.0004	1	1	1	1	S	1421430	                  Pseudomonas granadensis
0.2760	632	0	632	0	G1	136845	                Pseudomonas putida group
0.2498	572	572	572	572	S	1785161	                  Pseudomonas wadenswilerensis
0.0170	39	18	39	18	S	303	                  Pseudomonas putida
0.0092	21	21	21	21	S1	1081940	                    Pseudomonas putida B6-2
0.0087	20	0	20	0	S	47880	                  Pseudomonas fulva
0.0087	20	20	20	20	S1	743720	                    Pseudomonas fulva 12-X
0.0004	1	1	1	1	S	47885	                  Pseudomonas oryzihabitans
0.2507	574	574	574	574	S	1691904	                Pseudomonas sediminis
0.1979	453	26	453	26	G1	136849	                Pseudomonas syringae group
0.1756	402	402	402	402	S	33069	                  Pseudomonas viridiflava
0.0074	17	17	17	17	S	46257	                  Pseudomonas avellanae
0.0035	8	0	8	0	G2	251695	                  Pseudomonas syringae group genomosp. 1
0.0035	8	0	8	0	S	317	                    Pseudomonas syringae
0.0031	7	0	7	0	S1	264449	                      Pseudomonas syringae group pathovars incertae sedis
0.0031	7	3	7	3	S2	103796	                        Pseudomonas syringae pv. actinidiae
0.0017	4	4	4	4	S3	1108972	                          Pseudomonas syringae pv. actinidiae str. Shaanxi_M228
0.0004	1	1	1	1	S1	321	                      Pseudomonas syringae pv. syringae
0.1913	438	438	438	438	S	2842357	                Pseudomonas muyukensis
0.1734	397	2	397	2	G1	136841	                Pseudomonas aeruginosa group
0.1363	312	312	312	312	S	53408	                  Pseudomonas citronellolis
0.0144	33	0	33	0	G2	1232139	                  Pseudomonas oleovorans/pseudoalcaligenes group
0.0140	32	7	32	7	S	301	                    Pseudomonas oleovorans
0.0109	25	25	25	25	S1	1182590	                      Pseudomonas oleovorans CECT 5344
0.0004	1	1	1	1	S	1149133	                    Pseudomonas furukawaii
0.0109	25	9	25	9	S	300	                  Pseudomonas mendocina
0.0066	15	15	15	15	S1	1001585	                    Pseudomonas mendocina NK-01
0.0004	1	1	1	1	S1	1225174	                    Pseudomonas mendocina S5.2
0.0100	23	23	23	23	S	287	                  Pseudomonas aeruginosa
0.0009	2	0	2	0	S	53412	                  Pseudomonas resinovorans
0.0009	2	2	2	2	S1	1245471	                    Pseudomonas resinovorans NBRC 106553
0.1725	395	395	395	395	S	2604832	                Pseudomonas lalkuanensis
0.1503	344	344	344	344	S	359110	                Pseudomonas extremaustralis
0.1350	309	309	309	309	S	2842354	                Pseudomonas maumuensis
0.0782	179	179	179	179	S	1392877	                Pseudomonas oryzae
0.0756	173	173	173	173	S	1198456	                Pseudomonas guguanensis
0.0734	168	168	168	168	S	2745514	                Pseudomonas salmasensis
0.0454	104	104	104	104	S	2599595	                Pseudomonas eucalypticola
0.0450	103	103	103	103	S	2745510	                Pseudomonas zeae
0.0437	100	100	100	100	S	163011	                Pseudomonas lini
0.0358	82	82	82	82	S	489632	                Pseudomonas chengduensis
0.0301	69	69	69	69	S	2842355	                Pseudomonas fakonensis
0.0266	61	61	61	61	S	2774460	                Pseudomonas allokribbensis
0.0197	45	45	45	45	S	2745495	                Pseudomonas vanderleydeniana
0.0192	44	44	44	44	S	2894079	                Pseudomonas oryziphila
0.0192	44	44	44	44	S	122355	                Pseudomonas psychrophila
0.0157	36	36	36	36	S	2518644	                Pseudomonas tructae
0.0144	33	33	33	33	S	2505979	                Pseudomonas viciae
0.0140	32	32	32	32	S	554344	                Pseudomonas toyotomiensis
0.0118	27	0	27	0	G1	136842	                Pseudomonas chlororaphis group
0.0070	16	9	16	9	S	587753	                  Pseudomonas chlororaphis
0.0022	5	5	5	5	S1	86192	                    Pseudomonas chlororaphis subsp. aurantiaca
0.0009	2	2	2	2	S1	587851	                    Pseudomonas chlororaphis subsp. aureofaciens
0.0044	10	10	10	10	S	380021	                  Pseudomonas protegens
0.0004	1	1	1	1	S	2614538	                  Pseudomonas piscis
0.0118	27	27	27	27	S	65741	                Pseudomonas knackmussii
0.0114	26	26	26	26	S	2213015	                Pseudomonas sichuanensis
0.0100	23	23	23	23	S	2011015	                Pseudomonas laurylsulfatiphila
0.0096	22	22	22	22	S	2906062	                Pseudomonas wenzhouensis
0.0092	21	21	21	21	S	1148509	                Pseudomonas prosekii
0.0092	21	21	21	21	S	198618	                Pseudomonas umsongensis
