superkingdom	taxid	name	read_count	total_bp_mapped	rel_abundance
Bacteria	2816950	Ottowia testudinis	411	123291	0.001320
Bacteria	2608999	Cupriavidus cauae	399	68634	0.001285
Bacteria	33069	Pseudomonas viridiflava	384	110431	0.001253
Bacteria	283811	Stackebrandtia nassauensis	383	123030	0.000698
Bacteria	506591	Leisingera caerulea	379	63394	0.001421
Bacteria	2184083	Pseudothauera hydrothermalis	376	122626	0.001566
Bacteria	119542	Roseinatronobacter bogoriensis	375	203885	0.001522
Bacteria	545619	Paraoerskovia marina	374	93716	0.001554
Bacteria	153491	Alysiella crassa	372	154732	0.002047
Bacteria	2604832	Metapseudomonas lalkuanensis	368	83050	0.001060
Bacteria	2782006	Mongoliitalea daihaiensis	358	220186	0.001195
Bacteria	2116657	Pulveribacter suum	357	64224	0.001653
Bacteria	Arachnia_palaemonis	Arachnia palaemonis	356	71291	0.002374
Bacteria	Homoserinibacter_intestinalis	Homoserinibacter intestinalis	348	66792	0.001549
Bacteria	2650157	Bacteroides zhangwenhongii	343	111149	0.000896
Bacteria	947919	Desulfosarcina widdelii	331	215926	0.000772
Bacteria	1751056	Flavobacterium ammonificans	329	82310	0.001558
Bacteria	421525	Kaistella haifensis	328	98343	0.001431
Bacteria	52	Chondromyces crocatus	324	144277	0.000384
Bacteria	2714353	Vescimonas fastidiosa	322	143537	0.001922
Bacteria	1306787	Isoalcanivorax pacificus	316	136185	0.001117
Bacteria	2842357	Pseudomonas muyukensis	313	50528	0.001376
Bacteria	164759	Diaphorobacter nitroreducens	311	78640	0.001209
Bacteria	2861782	Paraburkholderia edwinii	304	115868	0.000641
Bacteria	2740185	Geomonas paludis	288	73039	0.000715
Bacteria	2775159	Xanthomonas hydrangeae	280	257673	0.010124
Bacteria	Mycobacterium_brumae	Mycobacterium brumae	280	64541	0.000968
Bacteria	182640	Kribbella flavida	275	68505	0.000450
Bacteria	35554	Geobacter sulfurreducens	272	76966	0.002068
Bacteria	147645	Paracoccus yeei	271	58210	0.001759
Bacteria	93944	Nonomuraea gerenzanensis	269	51576	0.000314
Bacteria	Acetatifactor_intestinalis	Acetatifactor intestinalis	268	172906	0.001374
Bacteria	359110	Pseudomonas extremaustralis	264	47994	0.000925
Bacteria	Gallionella_kumadai	Gallionella kumadai	255	108456	0.001495
Bacteria	1575	Leifsonia xyli	250	47756	0.001241
Bacteria	Kaistella_suipulveris	Kaistella suipulveris	249	98094	0.001072
Bacteria	2546350	Citrobacter arsenatis	247	134808	0.006294
Bacteria	2949664	Paraconexibacter antarcticus	244	55990	0.000534
Bacteria	2898793	Frateuria edaphi	236	66482	0.000975
Bacteria	361111	Desulfoglaeba alkanexedens	230	150665	0.001151
Bacteria	453304	Agromyces aureus	229	59150	0.000814
Bacteria	1084	Pararhodospirillum photometricum	225	102602	0.000822
Bacteria	2865840	Deefgea tanakiae	223	143149	0.001100
Bacteria	Mycobacterium_rutilum	Mycobacterium rutilum	222	45419	0.000539
Bacteria	Roseococcus_rosea	Roseococcus rosea	221	67828	0.000539
Bacteria	1945662	Paracoccus contaminans	217	53485	0.001016
Bacteria	2202148	Azospirillum thermophilum	217	56943	0.000479
Bacteria	131568	Kineococcus radiotolerans	216	33786	0.000391
Bacteria	1935379	Leucobacter muris	211	50196	0.000955
Bacteria	Mycobacterium_litorale	Mycobacterium litorale	210	37112	0.000580
Bacteria	1550733	Aquisediminimonas profunda	206	139116	0.001094
Bacteria	161493	Anaeromyxobacter dehalogenans	206	36525	0.000728
Bacteria	1639108	Chania multitudinisentens	205	94411	0.000603
Bacteria	370777	Arenimonas daejeonensis	203	47415	0.000813
Bacteria	2259340	Paracoccus suum	200	61476	0.000837
Bacteria	73044	Streptomyces seoulensis	198	28878	0.000553
Bacteria	332249	Truepera radiovictrix	192	84180	0.000819
Bacteria	2895947	Flavobacterium cyclinae	191	42666	0.000721
Bacteria	279058	Collimonas arenae	187	78146	0.000479
Bacteria	17	Methylophilus methylotrophus	185	48279	0.000902
Bacteria	504468	Rhodovastum atsumiense	185	112240	0.000609
Bacteria	1560345	Sphingomonas panacis	183	96839	0.000757
Bacteria	748811	Sulfuritalea hydrogenivorans	179	74852	0.000753
Bacteria	1392877	Pseudomonas oryzae	177	41791	0.000671
Bacteria	1967501	Shinella sumterensis	175	39128	0.000893
Bacteria	Mycobacterium_doricum	Mycobacterium doricum	175	35986	0.000563
Bacteria	1082851	Comamonas serinivorans	167	59572	0.000583
Bacteria	1940612	Pigmentiphaga aceris	166	82940	0.000414
Bacteria	1534	Clostridium kluyveri	157	49667	0.000833
Bacteria	418240	Blautia wexlerae	156	91329	0.000680
Bacteria	2591109	Casimicrobium huifangae	153	81652	0.000572
Bacteria	1306519	Flavobacterium commune	152	43949	0.000474
Bacteria	397865	Barnesiella viscericola	149	98846	0.000904
Bacteria	223390	Ancylobacter polymorphus	149	45601	0.000477
Bacteria	Mycobacterium_aubagnense	Mycobacterium aubagnense	146	25760	0.000228
Bacteria	1141221	Chryseobacterium taihuense	144	36297	0.000432
Bacteria	2781599	Streptococcus oriscaviae	142	76125	0.001101
Bacteria	Novisyntrophococcus_liquoris	Novisyntrophococcus liquoris	141	88098	0.000652
Bacteria	69395	Caulobacter henricii	138	46658	0.000477
Bacteria	2842354	Pseudomonas maumuensis	137	26842	0.001030
Bacteria	338565	Erwinia tasmaniensis	137	67048	0.000717
Bacteria	2792603	Acidihalobacter aeolianus	135	134979	0.001241
Bacteria	419476	Nocardioides marinisabuli	134	22615	0.000495
Bacteria	649841	Sulfuricella denitrificans	129	61192	0.000551
Bacteria	2732067	Usitatibacter rugosus	129	35022	0.000324
Bacteria	2598579	Limnoglobus roseus	129	66743	0.000205
Bacteria	Arachnia_flava	Arachnia flava	128	41458	0.000509
Bacteria	173480	Gemmatimonas aurantiaca	128	69913	0.000410
Bacteria	1859	Frankia alni	127	23548	0.000274
Bacteria	55518	Magnetospirillum gryphiswaldense	125	43302	0.000351
Bacteria	2320868	Clostridium manihotivorum	123	47391	0.000237
Bacteria	28026	Bifidobacterium pseudocatenulatum	120	29916	0.006089
Bacteria	262324	Lysobacter gummosus	117	26977	0.000263
Bacteria	2584944	Sutterella faecalis	116	73950	0.000660
Bacteria	1297617	Intestinimonas butyriciproducens	115	70879	0.000641
Bacteria	630515	Microlunatus soli	114	36941	0.000197
Bacteria	2213200	Nocardia mangyaensis	112	32529	0.000231
Bacteria	2055955	Tsuneonella flava	107	56710	0.000581
Bacteria	419479	Jiangella alkaliphila	106	41117	0.000369
Bacteria	864828	Pseudoduganella umbonata	106	24327	0.000216
Bacteria	119484	Syntrophobacter fumaroxidans	105	76696	0.000387
Bacteria	Vitreimonas_silvestris	Vitreimonas silvestris	105	48850	0.000378
Bacteria	659012	Agromyces soli	103	20410	0.000406
Bacteria	1198456	Ectopseudomonas guguanensis	101	14803	0.000538
Bacteria	Lachnoclostridium_monacensis	Lachnoclostridium monacensis	101	56833	0.000466
Bacteria	2867233	Qipengyuania aurantiaca	98	34648	0.000586
Bacteria	2774190	Brevundimonas goettingensis	97	27639	0.000339
Bacteria	55209	Pantoea cypripedii	95	59675	0.000381
Bacteria	37331	Pseudonocardia petroleophila	95	15293	0.000257
Bacteria	58169	Rahnella inusitata	92	26662	0.000347
Bacteria	675281	Aquibium microcysteis	91	29204	0.000222
Bacteria	860	Fusobacterium periodonticum	86	9219	0.000989
Bacteria	2899123	Sphingomonas cannabina	86	21364	0.000260
Bacteria	Billgrantia_chromatireducens	Billgrantia chromatireducens	84	32113	0.000328
Bacteria	3022791	Stutzerimonas decontaminans	84	12405	0.000268
Bacteria	1842727	Rhodoferax koreense	81	22752	0.000189
Bacteria	2093856	Butyricimonas faecalis	80	37543	0.000276
Bacteria	216465	Polaromonas naphthalenivorans	76	45538	0.000331
Bacteria	2599595	Pseudomonas eucalypticola	73	64163	0.000508
Bacteria	2824561	Luteolibacter ambystomatis	72	42535	0.000217
Bacteria	1176533	Luteimonas granuli	71	15029	0.000355
Bacteria	1183413	Agrobacterium salinitolerans	69	26654	0.000503
Bacteria	186931	Thioalkalivibrio nitratireducens	69	21862	0.000250
Bacteria	2283318	Aquirhabdus parva	68	54688	0.000363
Bacteria	75385	Micropruina glycogenica	68	23949	0.000241
Bacteria	114616	Methylobacterium nodulans	66	33166	0.000159
Bacteria	1532023	Qipengyuania sediminis	63	18258	0.000315
Bacteria	797277	Halopseudomonas litoralis	62	33314	0.000299
Bacteria	2809020	Paralysiella testudinis	61	30551	0.000341
Bacteria	Kaistella_faecale	Kaistella faecale	60	20387	0.000252
Bacteria	85404	Mannheimia varigena	59	13157	0.000793
Bacteria	576610	Polynucleobacter necessarius	59	13480	0.000517
Bacteria	2842355	Pseudomonas fakonensis	59	14859	0.000220
Bacteria	2782568	Qipengyuania soli	58	23151	0.000313
Bacteria	758793	Caballeronia insecticola	58	11943	0.000096
Bacteria	1099853	Coprobacter fastidiosus	57	25322	0.000196
Bacteria	1404411	Bradyrhizobium septentrionale	56	20829	0.001366
Bacteria	2339259	Yersinia hibernica	55	11438	0.000278
Bacteria	2795387	Lysobacter arenosi	54	12465	0.000202
Bacteria	1387353	Paludisphaera borealis	54	19800	0.000082
Bacteria	2730425	Pseudomonas neuropathica	53	9855	0.000628
Bacteria	1072463	Microbacterium lemovicicum	53	9294	0.000162
Bacteria	2897181	Flavobacterium channae	51	10949	0.000209
Bacteria	80816	Haliangium ochraceum	50	16307	0.000066
Bacteria	1615674	Pseudomonas lactis	47	9008	0.000537
Bacteria	2202825	Methylobacterium durans	47	16741	0.000108
Bacteria	44742	Desulfovibrio fairfieldensis	45	24243	0.000196
Bacteria	34029	Leptothrix cholodnii	45	10525	0.000129
Bacteria	571913	Luteipulveratus mongoliensis	45	14300	0.000096
Bacteria	2661630	Venatoribacter cucullus	43	20780	0.000230
Bacteria	1288495	Diaphorobacter aerolatus	43	13019	0.000118
Bacteria	627624	Nocardioides panacisoli	42	8676	0.000145
Bacteria	2745495	Pseudomonas vanderleydeniana	42	11598	0.000114
Bacteria	1136941	Gordonia phthalatica	40	10702	0.000114
Bacteria	Neorhizobium_rhizoryzae	Neorhizobium rhizoryzae	39	17784	0.000114
Bacteria	2780922	Solibaculum mannosilyticum	38	29192	0.000311
Bacteria	453816	Pseudobdellovibrio exovorus	37	26646	0.000246
Bacteria	1176536	Novosphingobium ginsenosidimutans	37	15729	0.000189
Bacteria	2582419	Dialister hominis	35	25539	0.000772
Bacteria	1915078	Thioclava nitratireducens	35	16510	0.000225
Bacteria	1355330	Flavobacterium faecale	35	13530	0.000096
Bacteria	2518644	Pseudomonas tructae	33	10022	0.000160
Bacteria	Sphingomicrobium_glaciei	Sphingomicrobium glaciei	33	9663	0.000143
Bacteria	7	Azorhizobium caulinodans	33	10958	0.000088
Bacteria	1134435	Thauera humireducens	32	12334	0.000388
Bacteria	74313	Brevundimonas subvibrioides	32	7916	0.000219
Bacteria	2698682	Lysobacter oculi	32	8608	0.000185
Bacteria	470565	Prevotella histicola	31	20418	0.000212
Bacteria	483547	Geoalkalibacter subterraneus	31	16489	0.000122
Bacteria	2872652	Sphingomonas nostoxanthinifaciens	31	10412	0.000105
Bacteria	391905	Methylocystis heyeri	29	21055	0.000141
Bacteria	2715678	Sulfurimicrobium lacus	27	13193	0.000113
Bacteria	2867231	Qipengyuania gelatinilytica	26	9883	0.000156
Bacteria	1582259	Gudongella oleilytica	25	17897	0.000192
Bacteria	1565605	Rugosibacter aromaticivorans	20	14574	0.000139
Bacteria	2763670	Wujia chipingensis	17	9112	0.000116
Bacteria	2787628	Treponema peruense	13	9759	0.000092
