level	taxid	name	read_count	total_bp_mapped	rel_abundance
genus	33951	Acetobacterium	8	4910	0.000033
genus	1330547	Kosakonia	7	1073	0.000212
genus	2082587	Parolsenella	7	2845	0.000062
genus	3236655	Geopseudomonas	7	1040	0.000028
genus	1443590	Ferriphaselus	6	6465	0.000068
genus	Lientehia	Lientehia	6	5288	0.000044
genus	2836216	Phnomibacter	6	4059	0.000023
genus	2719231	Lacrimispora	6	1833	0.000010
genus	56112	Dehalobacter	5	1162	0.000043
genus	82976	Buttiauxella	5	1385	0.000014
genus	153265	Aequorivita	5	1219	0.000011
genus	2795783	Pirellulimonas	5	2257	0.000010
genus	1125	Microcystis	4	958	0.000059
genus	1253	Pediococcus	4	3106	0.000040
genus	22	Shewanella	4	2305	0.000023
genus	1915401	Roseitalea	4	1310	0.000016
genus	1230698	Marisediminicola	4	1286	0.000015
genus	644652	Gordonibacter	4	660	0.000015
genus	51514	Dehalobacterium	4	2000	0.000014
genus	248744	Marvinbryantia	4	1834	0.000010
genus	1676142	Wenzhouxiangella	4	1085	0.000010
genus	60136	Sulfitobacter	4	476	0.000005
genus	1193515	Snodgrassella	3	1737	0.000019
genus	2831955	Pikeienuella	3	1394	0.000012
genus	2874214	Terrihabitans	3	1013	0.000011
genus	146936	Azonexus	3	1217	0.000011
genus	1081	Rhodospirillum	3	872	0.000009
genus	Cetobacterium	Cetobacterium	3	641	0.000009
genus	Marmoricola	Marmoricola	3	456	0.000008
genus	2910984	Solidesulfovibrio	3	464	0.000008
genus	47	Archangium	3	879	0.000003
genus	35753	Dactylosporangium	3	352	0.000002
genus	48075	Marinobacterium	3	219	0.000001
genus	547	Enterobacter	2	362	0.000286
genus	2035712	Guyparkeria	2	1431	0.000021
genus	379	Rhizobium	2	735	0.000016
genus	20	Phenylobacterium	2	871	0.000010
genus	57665	Sulfurospirillum	2	495	0.000010
genus	42255	Rubrobacter	2	788	0.000009
genus	81	Hyphomicrobium	2	1038	0.000009
genus	319458	Leadbetterella	2	1394	0.000009
genus	1041	Erythrobacter	2	573	0.000009
genus	1763827	Hankyongella	2	616	0.000008
genus	2600304	Baekduia	2	580	0.000007
genus	141948	Thermomonas	2	135	0.000003
genus	2807415	Urbifossiella	2	553	0.000003
genus	Phaeospirillum	Phaeospirillum	2	222	0.000002
genus	5146	Sordaria	1	176	0.000011
genus	Thalassobius	Thalassobius	1	1222	0.000010
genus	2782229	Epilithonimonas	1	585	0.000006
genus	447467	Simiduia	1	876	0.000005
genus	Pseudopelobacter	Pseudopelobacter	1	729	0.000005
genus	Pusillimonas	Pusillimonas	1	537	0.000005
genus	1911549	Raineyella	1	432	0.000005
genus	43773	Syntrophus	1	604	0.000005
genus	657	Photobacterium	1	694	0.000004
genus	444459	Flagellimonas	1	542	0.000003
genus	1980685	Caecibacter	1	352	0.000003
genus	204475	Gemmiger	1	309	0.000003
genus	Deferrimonas	Deferrimonas	1	390	0.000003
genus	48073	Microbulbifer	1	360	0.000003
genus	2891294	Nitrogeniibacter	1	230	0.000003
genus	155493	Gallibacterium	1	213	0.000002
genus	2603323	Petrocella	1	326	0.000002
genus	Pseudoclostridium	Pseudoclostridium	1	439	0.000002
genus	2909705	Oleidesulfovibrio	1	321	0.000002
genus	178440	Opitutus	1	465	0.000002
genus	3051137	Paracidovorax	1	94	0.000002
genus	154116	Georgenia	1	174	0.000002
genus	Giesbergeria	Giesbergeria	1	206	0.000002
genus	Epibacterium	Epibacterium	1	282	0.000002
genus	376488	Halotalea	1	228	0.000002
genus	Chelativorans	Chelativorans	1	230	0.000001
genus	469322	Steroidobacter	1	166	0.000001
genus	222	Achromobacter	1	217	0.000001
genus	1743	Propionibacterium	1	86	0.000001
genus	44	Melittangium	1	270	0.000001
genus	31988	Aminobacter	1	175	0.000001
genus	1137960	Allokutzneria	1	185	0.000001
genus	Marihabitans	Marihabitans	1	51	0.000001
genus	112040	Zobellia	1	194	0.000001
genus	1649459	Hungatella	1	186	0.000001
order	80840	Burkholderiales	33197	9926978	0.200553
order	72274	Pseudomonadales	12235	3528371	0.060363
order	356	Hyphomicrobiales	12217	5019132	0.044473
order	91347	Enterobacterales	11550	4423851	0.082626
order	186826	Lactobacillales	10498	4191966	0.127099
order	204455	Rhodobacterales	10074	4062009	0.043089
order	2037	Actinomycetales	7208	2046493	0.036926
order	200644	Flavobacteriales	6663	1685302	0.029028
order	Rhizobiales	Rhizobiales	6545	1677392	0.023762
order	135614	Lysobacterales	6524	1508860	0.035511
order	204457	Sphingomonadales	6137	2165265	0.026329
order	85009	Propionibacteriales	5287	1462356	0.018659
order	85007	Mycobacteriales	5287	1430260	0.016937
order	3085636	Lachnospirales	4477	2396501	0.024053
order	85006	Micrococcales	4313	1003940	0.017238
order	Oscillospirales	Oscillospirales	3390	2044774	0.015409
order	206389	Rhodocyclales	3111	959355	0.013471
order	191411	Chlorobiales	2267	609026	0.014320
order	206351	Neisseriales	2097	627525	0.009980
order	135624	Aeromonadales	2024	1221330	0.011103
order	213849	Campylobacterales	1870	305706	0.006906
order	1706369	Cellvibrionales	1762	1227377	0.009758
order	2495578	Sporichthyales	1746	588443	0.005415
order	1934945	Immundisolibacterales	1482	437851	0.005849
order	32003	Nitrosomonadales	1457	604799	0.007558
order	Xanthomonadales	Xanthomonadales	1333	627125	0.014454
order	200666	Sphingobacteriales	1305	873486	0.006133
order	1385	Bacillales	1053	508998	0.006460
order	135618	Methylococcales	995	409218	0.002872
order	204441	Rhodospirillales	989	527839	0.003372
order	1692040	Acidiferrobacterales	988	451274	0.005213
order	112	Planctomycetales	972	603485	0.002333
order	84999	Coriobacteriales	951	648107	0.006383
order	171549	Bacteroidales	923	408316	0.003676
order	72273	Thiotrichales	831	333636	0.004504
order	118964	Deinococcales	780	258483	0.002501
order	213115	Desulfovibrionales	779	785993	0.005167
order	85010	Pseudonocardiales	731	141795	0.001018
order	2691356	Isosphaerales	656	256142	0.000843
order	85004	Bifidobacteriales	648	131922	0.014315
order	3031668	Geobacterales	594	168519	0.002937
order	292629	Anaerolineales	592	493886	0.004551
order	768507	Cytophagales	587	375818	0.001771
order	1643684	Nakamurellales	557	162098	0.001234
order	118969	Legionellales	504	297410	0.002159
order	3024411	Desulfobulbales	502	274194	0.001979
order	204458	Caulobacterales	417	150431	0.001608
order	3120395	Acetobacterales	406	180068	0.001148
order	85014	Glycomycetales	383	123030	0.000698
order	135619	Oceanospirillales	362	157184	0.001349
order	213462	Syntrophobacterales	335	227361	0.001538
order	213118	Desulfobacterales	331	215926	0.000772
order	3031712	Polyangiales	324	144277	0.000384
order	Clostridiales	Clostridiales	298	101536	0.001103
order	29	Myxococcales	275	56987	0.000818
order	85012	Streptosporangiales	269	51576	0.000314
order	588673	Solirubrobacterales	246	56570	0.000541
order	135613	Chromatiales	236	172234	0.001659
order	622452	Kineosporiales	216	33786	0.000391
order	Streptomycetales	Streptomycetales	198	28878	0.000553
order	909929	Selenomonadales	166	73168	0.000535
order	Casimicrobiaceae - no_o_rank	Casimicrobiaceae - no_o_rank	153	81652	0.000572
order	186802	Eubacteriales	144	82010	0.000758
order	2691355	Gemmatales	131	67296	0.000208
order	219686	Gemmatimonadales	128	69913	0.000410
order	85013	Frankiales	127	23548	0.000274
order	1217098	Jiangellales	106	41117	0.000369
order	203491	Fusobacteriales	89	9860	0.000998
order	48461	Verrucomicrobiales	72	42535	0.000217
order	1843489	Veillonellales	60	28949	0.000925
order	69541	Desulfuromonadales	51	25698	0.000188
order	3031714	Haliangiales	50	16307	0.000066
order	85008	Micromonosporales	43	9640	0.000066
order	213481	Bdellovibrionales	37	26646	0.000246
order	135622	Alteromonadales	32	17990	0.000188
order	3120434	Parvibaculales	28	11224	0.000097
order	1737405	Tissierellales	25	17897	0.000192
order	414714	Catenulisporales	20	6602	0.000025
order	Blyttiomyces - no_f_rank - no_o_rank	Blyttiomyces - no_f_rank - no_o_rank	15	2025	0.000001
order	136	Spirochaetales	13	9759	0.000092
order	1843488	Acidaminococcales	9	4653	0.000239
order	1853229	Chitinophagales	6	4059	0.000023
order	3120411	Desulfitobacteriales	5	1162	0.000043
order	2691354	Pirellulales	5	2257	0.000010
order	Cyanobacteriales	Cyanobacteriales	4	958	0.000059
order	84996	Rubrobacterales	2	788	0.000009
order	5139	Sordariales	1	176	0.000011
order	2914038	Syntrophales	1	604	0.000005
order	Acetivibrionales	Acetivibrionales	1	439	0.000002
order	415000	Opitutales	1	465	0.000002
order	3060226	Steroidobacterales	1	166	0.000001
phylum	1224	Pseudomonadota	117687	40807546	0.613623
phylum	201174	Actinomycetota	28338	7990949	0.121365
phylum	1239	Bacillota	20126	9452053	0.176818
phylum	976	Bacteroidota	9484	3346981	0.040631
phylum	1090	Chlorobiota	2267	609026	0.014320
phylum	Desulfobacterota	Desulfobacterota	2257	1470330	0.011044
phylum	29547	Campylobacterota	1870	305706	0.006906
phylum	203682	Planctomycetota	1764	929180	0.003395
phylum	1297	Deinococcota	780	258483	0.002501
phylum	2818505	Myxococcota	649	217571	0.001268
phylum	200795	Chloroflexota	592	493886	0.004551
phylum	200940	Thermodesulfobacteriota	336	227965	0.001543
phylum	142182	Gemmatimonadota	128	69913	0.000410
phylum	32066	Fusobacteriota	89	9860	0.000998
phylum	74201	Verrucomicrobiota	73	43000	0.000219
phylum	3018035	Bdellovibrionota	37	26646	0.000246
phylum	4761	Chytridiomycota	15	2025	0.000001
phylum	203691	Spirochaetota	13	9759	0.000092
phylum	1117	Cyanobacteriota	4	958	0.000059
phylum	4890	Ascomycota	1	176	0.000011
species	Neisseria_suis	Neisseria suis	5129	1633855	0.024402
species	1450134	Stenotrophomonas bentonitica	4259	936765	0.025394
species	1537215	Pseudooceanicola algae	3887	1548301	0.013961
species	1868793	Jeotgalibaca porci	3772	2096672	0.025914
species	1482074	Hartmannibacter diazotrophicus	3621	1937748	0.012739
species	1622	Ligilactobacillus murinus	3495	685956	0.043892
species	2067960	Pseudazoarcus pumilus	2684	818657	0.011376
species	372663	Isoptericola dokdonensis	2528	452981	0.008669
species	1097	Chlorobaculum tepidum	2267	609026	0.014320
species	Butyrivibrio_crossotus	Butyrivibrio crossotus	1914	1087858	0.012908
species	43948	Tolumonas auensis	1885	1203399	0.010003
species	1882682	Microvirga ossetica	1781	695184	0.002530
species	1891644	Epidermidibacterium keratini	1746	588443	0.005415
species	1810504	Immundisolibacter cernigliae	1482	437851	0.005849
species	1912897	Blautia argi	1356	695852	0.006398
species	2890321	Sphingomonas radiodurans	1323	424099	0.004930
species	42906	Serratia entomophila	1321	264963	0.010688
species	402297	Nocardioides daphniae	1280	278646	0.005151
species	797291	Sphingobacterium lactis	1261	856290	0.005740
species	2929799	Chryseobacterium oryzae	1221	307433	0.004421
species	2004710	Cloacibacterium caeni	1214	174034	0.007957
species	1282737	Flaviflexus salsibiostraticola	1164	453536	0.006158
species	61648	Kluyvera intermedia	1147	315579	0.008955
species	394935	Chromobacterium haemolyticum	1091	221800	0.006608
species	926	Thiomonas intermedia	1090	334582	0.004302
species	47735	Bibersteinia trehalosi	1073	468881	0.006593
species	2756	Brochothrix thermosphacta	1053	508998	0.006460
species	2109914	Ottowia oryzae	1050	314351	0.003930
species	640205	Pseudomonas seleniipraecipitans	1029	202194	0.002421
species	Neisseria_testudinis	Neisseria testudinis	1020	367452	0.004644
species	29405	Microlunatus phosphovorus	1020	407112	0.002417
species	593909	Mesorhizobium opportunistum	989	199180	0.005009
species	1620215	Sulfuricaulis limicola	988	451274	0.005213
species	Allorhizobium_daejeonense	Allorhizobium daejeonense	978	259917	0.003028
species	2527983	Caulifigura coniformis	972	603485	0.002333
species	2917790	Wielerella bovis	950	432553	0.080497
species	2479546	Vibrio zhugei	942	624410	0.005065
species	1549858	Sphingomonas taxi	941	339601	0.005662
species	1701758	Aureimonas populi	915	242881	0.002965
species	2815358	Leclercia pneumoniae	899	209053	0.003203
species	312277	Flavobacterium indicum	894	237315	0.003306
species	2891210	Thiothrix litoralis	830	333532	0.004501
species	Aliarcobacter_acticola	Aliarcobacter acticola	819	133242	0.002899
species	Mycobacterium_sarraceniae	Mycobacterium sarraceniae	817	210993	0.002397
species	89154	Corynebacterium terpenotabidum	798	259529	0.003857
species	Algicoccus_marinus	Algicoccus marinus	787	642693	0.003816
species	2509455	Agromyces protaetiae	774	160587	0.002573
species	1850254	Poseidonibacter parvus	753	134948	0.002747
species	2807096	Neotabrizicola shimadae	742	251975	0.002406
species	2764705	Sideroxyarcus emersonii	736	290614	0.004014
species	Homoserinibacter_larvae	Homoserinibacter larvae	721	143122	0.003585
species	1079	Blastochloris viridis	718	215207	0.002850
species	1296669	Aquabacterium olei	718	262446	0.002607
species	1745854	Ancylobacter pratisalsi	714	235193	0.002109
species	569860	Methylovirgula ligni	710	181818	0.001840
species	2483798	Nocardioides pantholopis	679	104289	0.002049
species	2509459	Xylanimonas allomyrinae	676	279667	0.004131
species	Mycobacterium_madagascariense	Mycobacterium madagascariense	672	167322	0.001567
species	415229	Pseudoxanthomonas spadix	666	171636	0.003084
species	1493872	Chryseobacterium shandongense	655	174298	0.002569
species	2831662	Gordonia pseudamarae	645	195734	0.001591
species	Arachnia_timonensis	Arachnia timonensis	641	288109	0.003397
species	400770	Devosia ginsengisoli	638	194003	0.001932
species	1852381	Duodenibacillus massiliensis	636	398147	0.004368
species	2822368	Lysobacter luteus	627	153160	0.003277
species	Methylobacterium_sp._900112625	Methylobacterium sp. 900112625	614	431132	0.009100
species	11	Cellulomonas gilvus	599	109668	0.002232
species	331696	Pseudolabrys taiwanensis	598	220428	0.001496
species	2487074	Kaistella daneshvariae	593	204438	0.002830
species	1986204	Brevefilum fermentans	592	493886	0.004551
species	84110	Slackia heliotrinireducens	588	362854	0.003089
species	656179	Pandoraea faecigallinarum	582	201621	0.001883
species	Rhizobacter_gummiphilus	Rhizobacter gummiphilus	565	136183	0.001100
species	185951	Sphingomonas aerolata	564	151227	0.001684
species	97478	Limosilactobacillus mucosae	563	354081	0.004308
species	Serinicoccus_flavus	Serinicoccus flavus	562	131524	0.002009
species	Acidovorax_monticola	Acidovorax monticola	559	118564	0.001728
species	53461	Nakamurella multipartita	557	162098	0.001234
species	81475	Frateuria aurantia	552	249220	0.002236
species	2599297	Sphingomonas suaedae	552	178223	0.001892
species	2759526	Sphingomonas aliaeris	546	264127	0.002351
species	502394	Deinococcus gobiensis	527	158125	0.001519
species	Bifidobacterium_leopoldii	Bifidobacterium leopoldii	524	100441	0.008198
species	266951	Qipengyuania seohaensis	524	222998	0.002858
species	2109913	Melaminivora suipulveris	520	101574	0.002234
species	96232	Legionella lytica	504	297410	0.002159
species	1225769	Paludibacterium paludis	503	176432	0.001477
species	894	Desulfobulbus propionicus	502	274194	0.001979
species	2585118	Alistipes communis	496	181692	0.001811
species	41899	Burkholderia plantarii	487	129569	0.001778
species	Hansschlegelia_methanolivorans	Hansschlegelia methanolivorans	487	158777	0.001206
species	449461	Nocardioides humi	479	92298	0.001055
species	683042	Leucobacter denitrificans	450	297824	0.003417
species	1785161	Pseudomonas wadenswilerensis	425	84739	0.002364
species	2816950	Ottowia testudinis	411	123291	0.001320
species	2608999	Cupriavidus cauae	399	68634	0.001285
species	33069	Pseudomonas viridiflava	384	110431	0.001253
species	283811	Stackebrandtia nassauensis	383	123030	0.000698
species	506591	Leisingera caerulea	379	63394	0.001421
species	2184083	Pseudothauera hydrothermalis	376	122626	0.001566
species	119542	Roseinatronobacter bogoriensis	375	203885	0.001522
species	545619	Paraoerskovia marina	374	93716	0.001554
species	153491	Alysiella crassa	372	154732	0.002047
species	2604832	Metapseudomonas lalkuanensis	368	83050	0.001060
species	2782006	Mongoliitalea daihaiensis	358	220186	0.001195
species	2116657	Pulveribacter suum	357	64224	0.001653
species	Arachnia_palaemonis	Arachnia palaemonis	356	71291	0.002374
species	Homoserinibacter_intestinalis	Homoserinibacter intestinalis	348	66792	0.001549
species	2650157	Bacteroides zhangwenhongii	343	111149	0.000896
species	947919	Desulfosarcina widdelii	331	215926	0.000772
species	1751056	Flavobacterium ammonificans	329	82310	0.001558
species	421525	Kaistella haifensis	328	98343	0.001431
species	52	Chondromyces crocatus	324	144277	0.000384
species	2714353	Vescimonas fastidiosa	322	143537	0.001922
species	1306787	Isoalcanivorax pacificus	316	136185	0.001117
species	2842357	Pseudomonas muyukensis	313	50528	0.001376
species	164759	Diaphorobacter nitroreducens	311	78640	0.001209
species	2861782	Paraburkholderia edwinii	304	115868	0.000641
species	2740185	Geomonas paludis	288	73039	0.000715
species	2775159	Xanthomonas hydrangeae	280	257673	0.010124
species	Mycobacterium_brumae	Mycobacterium brumae	280	64541	0.000968
species	182640	Kribbella flavida	275	68505	0.000450
species	35554	Geobacter sulfurreducens	272	76966	0.002068
species	147645	Paracoccus yeei	271	58210	0.001759
species	93944	Nonomuraea gerenzanensis	269	51576	0.000314
species	Acetatifactor_intestinalis	Acetatifactor intestinalis	268	172906	0.001374
species	359110	Pseudomonas extremaustralis	264	47994	0.000925
species	Gallionella_kumadai	Gallionella kumadai	255	108456	0.001495
species	1575	Leifsonia xyli	250	47756	0.001241
species	Kaistella_suipulveris	Kaistella suipulveris	249	98094	0.001072
species	2546350	Citrobacter arsenatis	247	134808	0.006294
species	2949664	Paraconexibacter antarcticus	244	55990	0.000534
species	2898793	Frateuria edaphi	236	66482	0.000975
species	361111	Desulfoglaeba alkanexedens	230	150665	0.001151
species	453304	Agromyces aureus	229	59150	0.000814
species	1084	Pararhodospirillum photometricum	225	102602	0.000822
species	2865840	Deefgea tanakiae	223	143149	0.001100
species	Mycobacterium_rutilum	Mycobacterium rutilum	222	45419	0.000539
species	Roseococcus_rosea	Roseococcus rosea	221	67828	0.000539
species	1945662	Paracoccus contaminans	217	53485	0.001016
species	2202148	Azospirillum thermophilum	217	56943	0.000479
species	131568	Kineococcus radiotolerans	216	33786	0.000391
species	1935379	Leucobacter muris	211	50196	0.000955
species	Mycobacterium_litorale	Mycobacterium litorale	210	37112	0.000580
species	1550733	Aquisediminimonas profunda	206	139116	0.001094
species	161493	Anaeromyxobacter dehalogenans	206	36525	0.000728
species	1639108	Chania multitudinisentens	205	94411	0.000603
species	370777	Arenimonas daejeonensis	203	47415	0.000813
species	2259340	Paracoccus suum	200	61476	0.000837
species	73044	Streptomyces seoulensis	198	28878	0.000553
species	332249	Truepera radiovictrix	192	84180	0.000819
species	2895947	Flavobacterium cyclinae	191	42666	0.000721
species	279058	Collimonas arenae	187	78146	0.000479
species	17	Methylophilus methylotrophus	185	48279	0.000902
species	504468	Rhodovastum atsumiense	185	112240	0.000609
species	1560345	Sphingomonas panacis	183	96839	0.000757
species	748811	Sulfuritalea hydrogenivorans	179	74852	0.000753
species	1392877	Pseudomonas oryzae	177	41791	0.000671
species	1967501	Shinella sumterensis	175	39128	0.000893
species	Mycobacterium_doricum	Mycobacterium doricum	175	35986	0.000563
species	1082851	Comamonas serinivorans	167	59572	0.000583
species	1940612	Pigmentiphaga aceris	166	82940	0.000414
species	1534	Clostridium kluyveri	157	49667	0.000833
species	418240	Blautia wexlerae	156	91329	0.000680
species	2591109	Casimicrobium huifangae	153	81652	0.000572
species	1306519	Flavobacterium commune	152	43949	0.000474
species	397865	Barnesiella viscericola	149	98846	0.000904
species	223390	Ancylobacter polymorphus	149	45601	0.000477
species	Mycobacterium_aubagnense	Mycobacterium aubagnense	146	25760	0.000228
species	1141221	Chryseobacterium taihuense	144	36297	0.000432
species	2781599	Streptococcus oriscaviae	142	76125	0.001101
species	Novisyntrophococcus_liquoris	Novisyntrophococcus liquoris	141	88098	0.000652
species	69395	Caulobacter henricii	138	46658	0.000477
species	2842354	Pseudomonas maumuensis	137	26842	0.001030
species	338565	Erwinia tasmaniensis	137	67048	0.000717
species	2792603	Acidihalobacter aeolianus	135	134979	0.001241
species	419476	Nocardioides marinisabuli	134	22615	0.000495
species	649841	Sulfuricella denitrificans	129	61192	0.000551
species	2732067	Usitatibacter rugosus	129	35022	0.000324
species	2598579	Limnoglobus roseus	129	66743	0.000205
species	Arachnia_flava	Arachnia flava	128	41458	0.000509
species	173480	Gemmatimonas aurantiaca	128	69913	0.000410
species	1859	Frankia alni	127	23548	0.000274
species	55518	Magnetospirillum gryphiswaldense	125	43302	0.000351
species	2320868	Clostridium manihotivorum	123	47391	0.000237
species	28026	Bifidobacterium pseudocatenulatum	120	29916	0.006089
species	262324	Lysobacter gummosus	117	26977	0.000263
species	2584944	Sutterella faecalis	116	73950	0.000660
species	1297617	Intestinimonas butyriciproducens	115	70879	0.000641
species	630515	Microlunatus soli	114	36941	0.000197
species	2213200	Nocardia mangyaensis	112	32529	0.000231
species	2055955	Tsuneonella flava	107	56710	0.000581
species	419479	Jiangella alkaliphila	106	41117	0.000369
species	864828	Pseudoduganella umbonata	106	24327	0.000216
species	119484	Syntrophobacter fumaroxidans	105	76696	0.000387
species	Vitreimonas_silvestris	Vitreimonas silvestris	105	48850	0.000378
species	659012	Agromyces soli	103	20410	0.000406
species	1198456	Ectopseudomonas guguanensis	101	14803	0.000538
species	Lachnoclostridium_monacensis	Lachnoclostridium monacensis	101	56833	0.000466
species	2867233	Qipengyuania aurantiaca	98	34648	0.000586
species	2774190	Brevundimonas goettingensis	97	27639	0.000339
species	55209	Pantoea cypripedii	95	59675	0.000381
species	37331	Pseudonocardia petroleophila	95	15293	0.000257
species	58169	Rahnella inusitata	92	26662	0.000347
species	675281	Aquibium microcysteis	91	29204	0.000222
species	860	Fusobacterium periodonticum	86	9219	0.000989
species	2899123	Sphingomonas cannabina	86	21364	0.000260
species	Billgrantia_chromatireducens	Billgrantia chromatireducens	84	32113	0.000328
species	3022791	Stutzerimonas decontaminans	84	12405	0.000268
species	1842727	Rhodoferax koreense	81	22752	0.000189
species	2093856	Butyricimonas faecalis	80	37543	0.000276
species	216465	Polaromonas naphthalenivorans	76	45538	0.000331
species	2599595	Pseudomonas eucalypticola	73	64163	0.000508
species	2824561	Luteolibacter ambystomatis	72	42535	0.000217
species	1176533	Luteimonas granuli	71	15029	0.000355
species	1183413	Agrobacterium salinitolerans	69	26654	0.000503
species	186931	Thioalkalivibrio nitratireducens	69	21862	0.000250
species	2283318	Aquirhabdus parva	68	54688	0.000363
species	75385	Micropruina glycogenica	68	23949	0.000241
species	114616	Methylobacterium nodulans	66	33166	0.000159
species	1532023	Qipengyuania sediminis	63	18258	0.000315
species	797277	Halopseudomonas litoralis	62	33314	0.000299
species	2809020	Paralysiella testudinis	61	30551	0.000341
species	Kaistella_faecale	Kaistella faecale	60	20387	0.000252
species	85404	Mannheimia varigena	59	13157	0.000793
species	576610	Polynucleobacter necessarius	59	13480	0.000517
species	2842355	Pseudomonas fakonensis	59	14859	0.000220
species	2782568	Qipengyuania soli	58	23151	0.000313
species	758793	Caballeronia insecticola	58	11943	0.000096
species	1099853	Coprobacter fastidiosus	57	25322	0.000196
species	1404411	Bradyrhizobium septentrionale	56	20829	0.001366
species	2339259	Yersinia hibernica	55	11438	0.000278
species	2795387	Lysobacter arenosi	54	12465	0.000202
species	1387353	Paludisphaera borealis	54	19800	0.000082
species	2730425	Pseudomonas neuropathica	53	9855	0.000628
species	1072463	Microbacterium lemovicicum	53	9294	0.000162
species	2897181	Flavobacterium channae	51	10949	0.000209
species	80816	Haliangium ochraceum	50	16307	0.000066
species	1615674	Pseudomonas lactis	47	9008	0.000537
species	2202825	Methylobacterium durans	47	16741	0.000108
species	44742	Desulfovibrio fairfieldensis	45	24243	0.000196
species	34029	Leptothrix cholodnii	45	10525	0.000129
species	571913	Luteipulveratus mongoliensis	45	14300	0.000096
species	2661630	Venatoribacter cucullus	43	20780	0.000230
species	1288495	Diaphorobacter aerolatus	43	13019	0.000118
species	627624	Nocardioides panacisoli	42	8676	0.000145
species	2745495	Pseudomonas vanderleydeniana	42	11598	0.000114
species	1136941	Gordonia phthalatica	40	10702	0.000114
species	Neorhizobium_rhizoryzae	Neorhizobium rhizoryzae	39	17784	0.000114
species	2780922	Solibaculum mannosilyticum	38	29192	0.000311
species	453816	Pseudobdellovibrio exovorus	37	26646	0.000246
species	1176536	Novosphingobium ginsenosidimutans	37	15729	0.000189
species	2582419	Dialister hominis	35	25539	0.000772
species	1915078	Thioclava nitratireducens	35	16510	0.000225
species	1355330	Flavobacterium faecale	35	13530	0.000096
species	2518644	Pseudomonas tructae	33	10022	0.000160
species	Sphingomicrobium_glaciei	Sphingomicrobium glaciei	33	9663	0.000143
species	7	Azorhizobium caulinodans	33	10958	0.000088
species	1134435	Thauera humireducens	32	12334	0.000388
species	74313	Brevundimonas subvibrioides	32	7916	0.000219
species	2698682	Lysobacter oculi	32	8608	0.000185
species	470565	Prevotella histicola	31	20418	0.000212
species	483547	Geoalkalibacter subterraneus	31	16489	0.000122
species	2872652	Sphingomonas nostoxanthinifaciens	31	10412	0.000105
species	391905	Methylocystis heyeri	29	21055	0.000141
species	2715678	Sulfurimicrobium lacus	27	13193	0.000113
species	2867231	Qipengyuania gelatinilytica	26	9883	0.000156
species	1582259	Gudongella oleilytica	25	17897	0.000192
species	1565605	Rugosibacter aromaticivorans	20	14574	0.000139
species	2763670	Wujia chipingensis	17	9112	0.000116
species	2787628	Treponema peruense	13	9759	0.000092
strain	GCF_004135405.1	Agromyces protaetiae strain FW100M-8	774	160587	0.002573
superkingdom	2	Bacteria	186494	66269812	0.999988
superkingdom	2759	Eukaryota	16	2201	0.000012
