Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Acinetobacter chinensis	1	2004650	2004650	395	0.171915	0.171919	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Microbacterium oleivorans	1	273677	273677	389	0.169303	0.169307	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Gardnerella sp.	18	2749065	2749065;2749069;2749048;2749051;2749072;2749080;2749060;2749081;2749061;2749059;2749046;2749047;2749074;2749056;2749066;2749068;2749070;2749073	388	0.168868	0.168872	cellular organisms;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
Pseudothauera hydrothermalis	1	2184083	2184083	384	0.167127	0.167131	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera
Stackebrandtia nassauensis	1	283811	283811	384	0.167127	0.167131	cellular organisms;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Stackebrandtia
Microbacterium aurum	1	36805	36805	381	0.165822	0.165825	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Roseinatronobacter bogoriensis	1	119542	119542	375	0.163210	0.163214	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Roseinatronobacter
Niveispirillum cyanobacteriorum	1	1612173	1612173	374	0.162775	0.162779	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Niveispirillum
Alysiella crassa	1	153491	153491	373	0.162340	0.162343	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Alysiella
Nonomuraea gerenzanensis	1	93944	93944	372	0.161905	0.161908	cellular organisms;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea
Pulveribacter suum	1	2116657	2116657	368	0.160164	0.160167	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pulveribacter
Vescimonas fastidiosa	1	2714353	2714353	366	0.159293	0.159297	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas
Protaetiibacter intestinalis	1	2419774	2419774	364	0.158423	0.158426	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Protaetiibacter
Mongoliitalea daihaiensis	1	2782006	2782006	358	0.155811	0.155815	cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Mongoliitalea
Acinetobacter proteolyticus	1	1776741	1776741	352	0.153200	0.153203	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Flavobacterium gilvum	1	1492737	1492737	347	0.151024	0.151027	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Pseudomonas extremaustralis	1	359110	359110	340	0.147977	0.147981	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas viridiflava	1	33069	33069	339	0.147542	0.147545	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Flavobacterium ammonificans	1	1751056	1751056	334	0.145366	0.145369	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Ruminococcus bicirculans	1	1160721	1160721	334	0.145366	0.145369	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus
Microbacterium caowuchunii	1	2614638	2614638	333	0.144931	0.144934	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Desulfosarcina widdelii	1	947919	947919	332	0.144495	0.144499	cellular organisms;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina
Chondromyces crocatus	1	52	52	324	0.141014	0.141017	cellular organisms;Myxococcota;;Polyangiales;Polyangiaceae;Chondromyces
Bacteroides zhangwenhongii	1	2650157	2650157	322	0.140143	0.140146	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Collimonas pratensis	1	279113	279113	320	0.139273	0.139276	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas
Methylocapsa polymorpha	1	3080828	3080828	319	0.138838	0.138841	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocapsa
Isoalcanivorax pacificus	1	1306787	1306787	318	0.138402	0.138405	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Isoalcanivorax
Geobacter sulfurreducens	1	35554	35554	315	0.137097	0.137100	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter
Pseudomonas citronellolis	1	53408	53408	314	0.136661	0.136664	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Diaphorobacter nitroreducens	1	164759	164759	312	0.135791	0.135794	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter
Pseudomonas maumuensis	1	2842354	2842354	309	0.134485	0.134488	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Microbacterium aurantiacum	1	162393	162393	307	0.133615	0.133618	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Paraburkholderia edwinii	1	2861782	2861782	306	0.133180	0.133182	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
Citrobacter cronae	1	1748967	1748967	303	0.131874	0.131877	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
Brachybacterium halotolerans	1	2795215	2795215	296	0.128827	0.128830	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Brachybacterium
Intestinibacter bartlettii	1	261299	261299	296	0.128827	0.128830	cellular organisms;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter
Denitrobacterium detoxificans	1	79604	79604	294	0.127957	0.127960	cellular organisms;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Denitrobacterium
Geomonas paludis	1	2740185	2740185	294	0.127957	0.127960	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geomonas
Xanthomonas hydrangeae	1	2775159	2775159	289	0.125781	0.125783	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas
Simiaoa sunii	1	2763672	2763672	288	0.125345	0.125348	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Simiaoa
Actinosynnema mirum	1	40567	40567	287	0.124910	0.124913	cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinosynnema
Rhodanobacter soli	1	590609	590609	284	0.123605	0.123607	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter
Mycolicibacterium brumae	1	85968	85968	283	0.123169	0.123172	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Kribbella flavida	1	182640	182640	278	0.120993	0.120996	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella
Collimonas fungivorans	1	158899	158899	268	0.116641	0.116643	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas
Paracoccus mutanolyticus	1	1499308	1499308	266	0.115770	0.115773	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Leifsonia xyli	1	1575	1575	260	0.113159	0.113162	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leifsonia
Chryseobacterium suipulveris	1	2929800	2929800	255	0.110983	0.110985	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Ferrigenium kumadai	1	1682490	1682490	255	0.110983	0.110985	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Ferrigenium
Pectobacterium brasiliense	1	180957	180957	254	0.110548	0.110550	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium
Klebsiella quasivariicola	1	2026240	2026240	249	0.108372	0.108374	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
Citrobacter arsenatis	1	2546350	2546350	248	0.107936	0.107939	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
Aliiroseovarius crassostreae	1	154981	154981	246	0.107066	0.107068	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius
Paracoccus aminovorans	1	34004	34004	246	0.107066	0.107068	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Paraconexibacter antarcticus	1	2949664	2949664	245	0.106631	0.106633	cellular organisms;Actinomycetota;Thermoleophilia;Solirubrobacterales;Paraconexibacteraceae;Paraconexibacter
Pusillibacter faecalis	1	2714358	2714358	245	0.106631	0.106633	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pusillibacter
Methylophilus sp.	2	1662285	1662285;3095607	245	0.106631	0.106633	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus
