Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Salipiger profundus	1	1229727	1229727	33	0.014363	0.014363	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Salipiger
Agrobacterium tumefaciens	1	358	358	32	0.013927	0.013928	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium
Mycolicibacterium obuense	1	1807	1807	32	0.013927	0.013928	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Pseudolysobacter antarcticus	1	2511995	2511995	32	0.013927	0.013928	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Pseudolysobacter
Pseudomonas viciae	1	2505979	2505979	32	0.013927	0.013928	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Mycolicibacterium sp.	4	3042320	3042320;3056937;2908837;3457578	32	0.013927	0.013928	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Citrobacter portucalensis	1	1639133	1639133	31	0.013492	0.013492	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
Mycolicibacterium celeriflavum	1	1249101	1249101	31	0.013492	0.013492	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Sphingomonas nostoxanthinifaciens	1	2872652	2872652	31	0.013492	0.013492	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Sphingomonas sp.	14	3228751	3228751;3018446;3470658;3464721;1938607;3114300;745310;3464723;1523415;1517551;1030157;2903960;2997354;3458297	31	0.013492	0.013492	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Azospirillum thiophilum	1	528244	528244	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum
Bacteroides finegoldii	1	338188	338188	30	0.013057	0.013057	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Idiomarina loihiensis	1	135577	135577	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina
Methylocystis heyeri	1	391905	391905	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis
Paraburkholderia terrae	1	311230	311230	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
Phreatobacter cathodiphilus	1	1868589	1868589	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phreatobacteraceae;Phreatobacter
Pseudomonas chlororaphis	1	587753	587753	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas mandelii	1	75612	75612	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas oryziphila	1	2894079	2894079	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas synxantha	1	47883	47883	30	0.013057	0.013057	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Catenulispora acidiphila	1	304895	304895	29	0.012622	0.012622	cellular organisms;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae;Catenulispora
Chryseobacterium camelliae	1	1265445	1265445	29	0.012622	0.012622	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Dorea longicatena	1	88431	88431	29	0.012622	0.012622	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Dorea
Cnuibacter physcomitrellae	1	1619308	1619308	28	0.012186	0.012187	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Cnuibacter
Ectopseudomonas khazarica	1	2502979	2502979	28	0.012186	0.012187	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
Glutamicibacter bergerei	1	256702	256702	28	0.012186	0.012187	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Glutamicibacter
Methylobacterium symbioticum	1	2584084	2584084	28	0.012186	0.012187	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Planctomicrobium aquicomposti	1	3448125	3448125	28	0.012186	0.012187	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomicrobium
Pseudomonas farris	1	2841207	2841207	28	0.012186	0.012187	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Qipengyuania flava	1	192812	192812	28	0.012186	0.012187	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania
Glutamicibacter sp.	3	3700063	3700063;3393744;3700062	28	0.012186	0.012187	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Glutamicibacter
Aromatoleum bremense	1	76115	76115	27	0.011751	0.011751	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Aromatoleum
Denitratisoma oestradiolicum	1	311182	311182	27	0.011751	0.011751	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma
Lactococcus lactis	1	1358	1358	27	0.011751	0.011751	cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
Microbacterium hominis	1	162426	162426	27	0.011751	0.011751	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Mycolicibacterium boenickei	1	146017	146017	27	0.011751	0.011751	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Pseudocitrobacter corydidari	1	2891570	2891570	27	0.011751	0.011751	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudocitrobacter
Pseudoflavonifractor gallinarum	1	2779352	2779352	27	0.011751	0.011751	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoflavonifractor
Sphingopyxis macrogoltabida	1	33050	33050	27	0.011751	0.011751	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis
Sulfurimicrobium lacus	1	2715678	2715678	27	0.011751	0.011751	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfurimicrobium
Tardibacter chloracetimidivorans	1	1921510	1921510	27	0.011751	0.011751	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Tardibacter
Kribbella sp.	10	3160966	3160966;3239948;2975969;3479441;3239940;3239941;2975967;2975968;2975972;2903581	27	0.011751	0.011751	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella
Desulfolutivibrio sulfodismutans	1	63561	63561	26	0.011316	0.011316	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfolutivibrio
Gardnerella swidsinskii	1	2792979	2792979	26	0.011316	0.011316	cellular organisms;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
Histophilus somni	1	731	731	26	0.011316	0.011316	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus
Mycolicibacterium aurum	1	1791	1791	26	0.011316	0.011316	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Pseudomonas aeruginosa	1	287	287	26	0.011316	0.011316	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas sichuanensis	1	2213015	2213015	26	0.011316	0.011316	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Sulfuritortus calidifontis	1	1914471	1914471	26	0.011316	0.011316	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Sulfuritortus
Draconibacterium orientale	1	1168034	1168034	25	0.010881	0.010881	cellular organisms;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium
Gudongella oleilytica	1	1582259	1582259	25	0.010881	0.010881	cellular organisms;Bacillota;Tissierellia;Tissierellales;Tissierellaceae;Gudongella
Metapseudomonas boanensis	1	2822138	2822138	25	0.010881	0.010881	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Metapseudomonas
Chryseobacterium indoltheticum	1	254	254	24	0.010445	0.010446	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Chryseobacterium salivictor	1	2547600	2547600	24	0.010445	0.010446	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Dyella acidisoli	1	1867834	1867834	24	0.010445	0.010446	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Dyella
Hydrogenophaga taeniospiralis	1	65656	65656	24	0.010445	0.010446	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
Leisingera methylohalidivorans	1	133924	133924	24	0.010445	0.010446	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Leisingera
Janibacter sp.	4	3028808	3028808;3442646;2761047;2963431	24	0.010445	0.010446	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter
Comamonas sediminis	1	1783360	1783360	23	0.010010	0.010010	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Lactobacillus iners	1	147802	147802	23	0.010010	0.010010	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Nitrosomonas europaea	1	915	915	23	0.010010	0.010010	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas
Pseudopedobacter saltans	1	151895	151895	23	0.010010	0.010010	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pseudopedobacter
Sphingopyxis panaciterrae	1	363841	363841	23	0.010010	0.010010	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis
Aliarcobacter butzleri	1	28197	28197	22	0.009575	0.009575	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Aliarcobacter
Desulfovibrio legallii	1	571438	571438	22	0.009575	0.009575	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Janibacter terrae	1	103817	103817	22	0.009575	0.009575	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter
Pseudomonas laurylsulfatiphila	1	2011015	2011015	22	0.009575	0.009575	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Serinicoccus marinus	1	247333	247333	22	0.009575	0.009575	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Ornithinimicrobiaceae;Serinicoccus
Rhodococcus sp.	6	2749906	2749906;2594007;2100132;1387842;2567884;2742603	22	0.009575	0.009575	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus
Paenibacillus sp.	12	2996034	2996034;2921399;2835869;2954742;2777983;2979727;3342538;2072642;3416710;3435409;2937870;3569180	22	0.009575	0.009575	cellular organisms;Bacillota;Bacilli;Caryophanales;Paenibacillaceae;Paenibacillus
Arthrobacter alpinus	1	656366	656366	21	0.009140	0.009140	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Arthrobacter
Janthinobacterium tructae	1	2590869	2590869	21	0.009140	0.009140	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium
Leishmania major	1	5664	5664	21	0.009140	0.009140	cellular organisms;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Leishmania
Marinicauda algicola	1	2029849	2029849	21	0.009140	0.009140	cellular organisms;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Marinicauda
Pseudomonas prosekii	1	1148509	1148509	21	0.009140	0.009140	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Wujia chipingensis	1	2763670	2763670	21	0.009140	0.009140	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wujia
Caulobacter sp.	5	3458546	3458546;3374551;78;69665;3402778	21	0.009140	0.009140	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
Caldichromatium japonicum	1	2699430	2699430	20	0.008705	0.008705	cellular organisms;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Caldichromatium
Claveliimonas bilis	1	3028070	3028070	20	0.008705	0.008705	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Claveliimonas
Microbacterium aerolatum	1	153731	153731	20	0.008705	0.008705	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Mycolicibacterium parafortuitum	1	39692	39692	20	0.008705	0.008705	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Nocardia cyriacigeorgica	1	135487	135487	20	0.008705	0.008705	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia
Oleiharenicola sp.	1	3398393	3398393	20	0.008705	0.008705	cellular organisms;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Oleiharenicola
Paraburkholderia sabiae	1	273251	273251	20	0.008705	0.008705	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
Rugosibacter aromaticivorans	1	1565605	1565605	20	0.008705	0.008705	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Rugosibacter
Sphingopyxis fribergensis	1	1515612	1515612	20	0.008705	0.008705	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis
Thauera chlorobenzoica	1	96773	96773	20	0.008705	0.008705	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera
Mucilaginibacter sp.	5	3416711	3416711;1882438;3029053;2778902;2929803	20	0.008705	0.008705	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter
Tessaracoccus sp.	4	3569183	3569183;3569182;3569181;3569370	20	0.008705	0.008705	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
Acinetobacter calcoaceticus	1	471	471	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Clostridium beijerinckii	1	1520	1520	19	0.008269	0.008270	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Elizabethkingia bruuniana	1	1756149	1756149	19	0.008269	0.008270	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia
Erwinia pyrifoliae	1	79967	79967	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
Kaustia mangrovi	1	2593653	2593653	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Kaustia
Methylotenera mobilis	1	359408	359408	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera
Methylovulum psychrotolerans	1	1704499	1704499	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylovulum
Microlunatus sp.	1	2672569	2672569	19	0.008269	0.008270	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus
Mycetocola zhujimingii	1	2079792	2079792	19	0.008269	0.008270	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Mycetocola
Pseudoxanthomonas daejeonensis	1	266062	266062	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas
Herbiconiux sp.	2	3350168	3350168;2905871	19	0.008269	0.008270	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Herbiconiux
Achromobacter sp.	7	3141581	3141581;3151598;1758194;2282475;3026082;2860286;2893881	19	0.008269	0.008270	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
Sorangium sp.	14	3133335	3133335;3133308;3133311;3133323;3133325;3133331;3133332;3133288;3133290;3133299;3133305;3133309;3133319;3133324	19	0.008269	0.008270	cellular organisms;Myxococcota;;Polyangiales;Polyangiaceae;Sorangium
Aquitalea aquatilis	1	1537400	1537400	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquitalea
Brevundimonas pondensis	1	2774189	2774189	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Chryseobacterium gambrini	1	373672	373672	18	0.007834	0.007834	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Ectopseudomonas composti	1	658457	658457	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
Geobacter benzoatilyticus	1	2815309	2815309	18	0.007834	0.007834	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter
Lactobacillus johnsonii	1	33959	33959	18	0.007834	0.007834	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Lawsonibacter asaccharolyticus	1	2108523	2108523	18	0.007834	0.007834	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Lawsonibacter
Paraurantiacibacter namhicola	1	645517	645517	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Paraurantiacibacter
Phaeobacter inhibens	1	221822	221822	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Phaeobacter
Pseudomonas hygromyciniae	1	2812000	2812000	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Pseudomonas mucidolens	1	46679	46679	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Rhodopseudomonas palustris	1	1076	1076	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas
Sphingopyxis alaskensis	1	117207	117207	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis
Stutzerimonas zhaodongensis	1	1176257	1176257	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas
Xanthomonas hortorum	1	56454	56454	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas
Altererythrobacter sp.	2	3108391	3108391;3349333	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter
Pseudosulfitobacter sp.	2	2883100	2883100;3350098	18	0.007834	0.007834	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pseudosulfitobacter
Ectopseudomonas hydrolytica	1	2493633	2493633	17	0.007399	0.007399	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
Janibacter cremeus	1	1285192	1285192	17	0.007399	0.007399	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter
Janthinobacterium svalbardense	1	368607	368607	17	0.007399	0.007399	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium
Microbacterium phosphatis	1	3140248	3140248	17	0.007399	0.007399	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Microtetraspora malaysiensis	1	161358	161358	17	0.007399	0.007399	cellular organisms;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Microtetraspora
Niveibacterium microcysteis	1	2811415	2811415	17	0.007399	0.007399	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Niveibacterium
Paracoccus jeotgali	1	2065379	2065379	17	0.007399	0.007399	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Pseudomonas rhizosphaerae	1	216142	216142	17	0.007399	0.007399	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Thermaerobacter marianensis	1	73919	73919	17	0.007399	0.007399	cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiales Family XVII. Incertae Sedis;Thermaerobacter
Acinetobacter johnsonii	1	40214	40214	16	0.006964	0.006964	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Agromyces silvae	1	3388266	3388266	16	0.006964	0.006964	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces
Burkholderia gladioli	1	28095	28095	16	0.006964	0.006964	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Candidatus Kaistella	1	2820270	2820270	16	0.006964	0.006964	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
Chryseobacterium indologenes	1	253	253	16	0.006964	0.006964	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Citrifermentans bemidjiense	1	225194	225194	16	0.006964	0.006964	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans
Gardnerella vaginalis	1	2702	2702	16	0.006964	0.006964	cellular organisms;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
Geotalea uraniireducens	1	351604	351604	16	0.006964	0.006964	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea
Pseudomonas avellanae	1	46257	46257	16	0.006964	0.006964	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Rahnella bonaserana	1	2816248	2816248	16	0.006964	0.006964	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella
Tistrella mobilis	1	171437	171437	16	0.006964	0.006964	cellular organisms;Pseudomonadota;Alphaproteobacteria;Geminicoccales;Geminicoccaceae;Tistrella
Actinomyces weissii	1	675090	675090	15	0.006528	0.006529	cellular organisms;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces
Asticcacaulis excentricus	1	78587	78587	15	0.006528	0.006529	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis
Erythrobacter mangrovi	1	2739433	2739433	15	0.006528	0.006529	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter
Escherichia coli	1	562	562	15	0.006528	0.006529	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
Massilia violaceinigra	1	2045208	2045208	15	0.006528	0.006529	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
Planctomicrobium stercoris	1	3448124	3448124	15	0.006528	0.006529	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomicrobium
Xanthomonas fragariae	1	48664	48664	15	0.006528	0.006529	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas
Aeromonas mytilicola	1	3377113	3377113	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
Arachnia propionica	1	1750	1750	14	0.006093	0.006093	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia
Caulobacter segnis	1	88688	88688	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
Chryseobacterium taklimakanense	1	536441	536441	14	0.006093	0.006093	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Gemmobacter fulvus	1	2840474	2840474	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Gemmobacter
Microbacterium rhizosphaerae	1	1678237	1678237	14	0.006093	0.006093	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Mycobacterium adipatum	1	1682113	1682113	14	0.006093	0.006093	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
Pandoraea pnomenusa	1	93220	93220	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea
Stappia sp.	1	1870903	1870903	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Stappia
Chromobacterium sp.	3	3133274	3133274;3234025;2953890	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium
Paracoccus sp.	4	2895796	2895796;2589076;2500532;2760307	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Roseibium sp.	5	1936156	1936156;3092135;3470326;3569461;3569836	14	0.006093	0.006093	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium
Bacteroides difficilis	1	2763021	2763021	13	0.005658	0.005658	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
