TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
81475	Frateuria aurantia	26484	0.836827	0.838456	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria
84110	Slackia heliotrinireducens	26462	0.836132	0.837759	cellular organisms;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia
2599297	Sphingomonas suaedae	26021	0.822197	0.823798	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
89154	Corynebacterium terpenotabidum	26014	0.821976	0.823576	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
2764705	Sideroxyarcus emersonii	25798	0.815151	0.816738	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxyarcus
2782006	Mongoliitalea daihaiensis	24967	0.788893	0.790429	cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Mongoliitalea
1079	Blastochloris viridis	24879	0.786113	0.787643	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris
2509455	Agromyces protaetiae	22521	0.711606	0.712991	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces
1986204	Candidatus Brevifilum fermentans	22106	0.698493	0.699853	cellular organisms;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Candidatus Brevifilum
266951	Qipengyuania seohaensis	20144	0.636499	0.637738	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania
1926868	Paenacidovorax monticola	19001	0.600383	0.601552	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax
2604832	Metapseudomonas lalkuanensis	18952	0.598835	0.600001	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Metapseudomonas
