Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Microbacterium caowuchunii	1	2614638	2614638	105	0.003318	0.003324	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Chryseobacterium indologenes	1	253	253	103	0.003255	0.003261	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Aliiroseovarius crassostreae	1	154981	154981	101	0.003191	0.003198	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius
Candidatus Kaistella	1	2820270	2820270	96	0.003033	0.003039	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
Prevotella histicola	1	470565	470565	96	0.003033	0.003039	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Agrobacterium salinitolerans	1	1183413	1183413	95	0.003002	0.003008	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium
Salipiger profundus	1	1229727	1229727	95	0.003002	0.003008	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Salipiger
Thioclava nitratireducens	1	1915078	1915078	95	0.003002	0.003008	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Thioclava
Rhodococcus triatomae	1	300028	300028	94	0.002970	0.002976	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus
Nitrobacter sp.	3	3398703	3398703;3126612;3453033	94	0.002970	0.002976	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Nitrobacter
Opitutus terrae	1	107709	107709	90	0.002844	0.002849	cellular organisms;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Opitutus
Janibacter sp.	6	3028808	3028808;3442646;2963431;3405424;3418717;2761047	90	0.002844	0.002849	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter
Stutzerimonas chloritidismutans	1	203192	203192	89	0.002812	0.002818	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas
Streptomyces sp.	75	2975623	2975623;1725411;639011;3476642;1488356;2975620;2903621;2975730;2903686;3238634;1795815;412710;3002640;2781734;3384771;3448171;3372856;3468841;3125779;3448663;1684483;3406419;3465273;3465274;3465275;3447508;3075197;3469805;2900152;2742137;2903611;2975634;2903627;2975672;2903639;2975691;2975699;2975702;2975710;2975712;2975714;2975739;2975749;2975783;2975796;2976011;2975809;2975811;2975855;2903718;2903775;2903779;2903783;2903811;2903820;2903832;2903838;2903869;2903884;2903885;2903887;2903890;2975900;2975917;376149;3435889;3239284;2750011;3096010;2892996;3406418;477697;234612;2676871;2136401	87	0.002749	0.002754	cellular organisms;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces
Leisingera aquaemixtae	1	1396826	1396826	85	0.002686	0.002691	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Leisingera
Microbacterium terricola	1	344163	344163	85	0.002686	0.002691	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Pseudomonas viridiflava	1	33069	33069	85	0.002686	0.002691	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Achromobacter kerstersii	1	1353890	1353890	84	0.002654	0.002659	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
Lacrimispora xylanisolvens	1	384636	384636	84	0.002654	0.002659	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora
Sideroxydans lithotrophicus	1	63745	63745	84	0.002654	0.002659	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans
Methylobacterium currus	1	2051553	2051553	83	0.002623	0.002628	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Gardnerella sp.	10	2749069	2749069;2749080;2749072;2749051;2749065;2749060;2749048;2749057;2749046;2749082	83	0.002623	0.002628	cellular organisms;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
Chryseobacterium indoltheticum	1	254	254	80	0.002528	0.002533	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Hyphomicrobium nitrativorans	1	1427356	1427356	80	0.002528	0.002533	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium
Microbacterium aurum	1	36805	36805	80	0.002528	0.002533	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Aliarcobacter butzleri	1	28197	28197	79	0.002496	0.002501	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Aliarcobacter
Burkholderia glumae	1	337	337	78	0.002465	0.002469	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Rhodobacter capsulatus	1	1061	1061	72	0.002275	0.002279	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;;Rhodobacter
Rubrobacter xylanophilus	1	49319	49319	72	0.002275	0.002279	cellular organisms;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter
Epilithonimonas vandammei	1	2487072	2487072	71	0.002243	0.002248	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Epilithonimonas
Caldimonas aquatica	1	376175	376175	70	0.002212	0.002216	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Caldimonas
Bacteroides faecium	1	2715212	2715212	68	0.002149	0.002153	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Pseudogemmobacter blasticus	1	1075	1075	64	0.002022	0.002026	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pseudogemmobacter
Sellimonas catena	1	2994035	2994035	64	0.002022	0.002026	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas
Agrobacterium larrymoorei	1	160699	160699	62	0.001959	0.001963	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium
Coprobacter fastidiosus	1	1099853	1099853	62	0.001959	0.001963	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter
Dehalobacter restrictus	1	55583	55583	62	0.001959	0.001963	cellular organisms;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae;Dehalobacter
Pseudodesulfovibrio profundus	1	57320	57320	62	0.001959	0.001963	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Pseudodesulfovibrio
Ralstonia syzygii	1	28097	28097	62	0.001959	0.001963	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Desulfuromonas soudanensis	1	1603606	1603606	61	0.001927	0.001931	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas
Hankyongella ginsenosidimutans	1	1763828	1763828	60	0.001896	0.001900	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Hankyongella
Pelobacter propionicus	1	29543	29543	59	0.001864	0.001868	cellular organisms;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Pelobacter
Acinetobacter baumannii	1	470	470	58	0.001833	0.001836	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Baekduia soli	1	496014	496014	58	0.001833	0.001836	cellular organisms;Actinomycetota;Thermoleophilia;Solirubrobacterales;Baekduiaceae;Baekduia
Syntrophus aciditrophicus	1	316277	316277	58	0.001833	0.001836	cellular organisms;Thermodesulfobacteriota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus
Shinella zoogloeoides	1	352475	352475	57	0.001801	0.001805	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella
Methylocystis heyeri	1	391905	391905	56	0.001769	0.001773	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis
Rahnella bonaserana	1	2816248	2816248	56	0.001769	0.001773	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella
Collimonas pratensis	1	279113	279113	55	0.001738	0.001741	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas
Hydrogenophaga crassostreae	1	1763535	1763535	55	0.001738	0.001741	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
Pseudolabrys sp.	1	2562284	2562284	55	0.001738	0.001741	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Pseudolabrys
Chitinimonas koreensis	1	356302	356302	54	0.001706	0.001710	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Chitinimonas
Sphingomonas insulae	1	424800	424800	54	0.001706	0.001710	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Xanthomonas rydalmerensis	1	3046274	3046274	53	0.001675	0.001678	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas
Lactobacillus iners	1	147802	147802	52	0.001643	0.001646	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Idiomarina loihiensis	1	135577	135577	51	0.001611	0.001615	cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina
Ligilactobacillus salivarius	1	1624	1624	51	0.001611	0.001615	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
Erwinia tasmaniensis	1	338565	338565	50	0.001580	0.001583	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
Pseudodesulfovibrio aespoeensis	1	182210	182210	50	0.001580	0.001583	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Pseudodesulfovibrio
Halopseudomonas sp.	2	3041098	3041098;3417171	49	0.001548	0.001551	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Halopseudomonas
Mycolicibacterium psychrotolerans	1	216929	216929	48	0.001517	0.001520	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Sulfurospirillum multivorans	1	66821	66821	48	0.001517	0.001520	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum
Flavobacterium dauae	1	1563479	1563479	47	0.001485	0.001488	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Pseudomonas aeruginosa	1	287	287	46	0.001453	0.001456	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Simplicispira suum	1	2109915	2109915	46	0.001453	0.001456	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira
Petrocella atlantisensis	1	2173034	2173034	45	0.001422	0.001425	cellular organisms;Bacillota;Clostridia;Lachnospirales;Vallitaleaceae;Petrocella
Intestinibacter bartlettii	1	261299	261299	44	0.001390	0.001393	cellular organisms;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter
Comamonas odontotermitis	1	379895	379895	43	0.001359	0.001361	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Luteococcus sp.	1	3401630	3401630	43	0.001359	0.001361	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Luteococcus
Paludibacterium yongneupense	1	400061	400061	43	0.001359	0.001361	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Paludibacterium
Denitrobacterium detoxificans	1	79604	79604	42	0.001327	0.001330	cellular organisms;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Denitrobacterium
Phocaeicola salanitronis	1	376805	376805	42	0.001327	0.001330	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola
Sphingomonas changnyeongensis	1	2698679	2698679	42	0.001327	0.001330	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Leisingera sp.	7	2867014	2867014;2508307;2508306;2867016;2867013;2867015;3416926	42	0.001327	0.001330	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Leisingera
Bradyrhizobium sp.	28	2954771	2954771;3049772;115808;1404443;3080013;3039159;858422;3415673;3415674;1521768;2782629;2782654;2782660;2782662;2782665;1404429;3133974;3133696;3140245;3080015;574727;3039153;1325102;1223566;1685958;3386552;578920;3457316	42	0.001327	0.001330	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Bacteroides cellulosilyticus	1	246787	246787	41	0.001295	0.001298	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Janibacter cremeus	1	1285192	1285192	41	0.001295	0.001298	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter
Rhodanobacter sp.	6	3415679	3415679;3158582;3242500;3031330;2778082;3466926	40	0.001264	0.001266	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter
Chryseobacterium gotjawalense	1	3042315	3042315	39	0.001232	0.001235	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Stakelama tenebrarum	1	2711215	2711215	39	0.001232	0.001235	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Stakelama
Stutzerimonas stutzeri	1	316	316	39	0.001232	0.001235	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas
Citrobacter arsenatis	1	2546350	2546350	38	0.001201	0.001203	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
Bradyrhizobium septentrionale	1	1404411	1404411	37	0.001169	0.001171	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Guyparkeria halophila	1	47960	47960	37	0.001169	0.001171	cellular organisms;Pseudomonadota;Gammaproteobacteria;Chromatiales;Thioalkalibacteraceae;Guyparkeria
Planctomyces sp.	2	1632864	1632864;1636152	37	0.001169	0.001171	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomyces
Acinetobacter gyllenbergii	1	134534	134534	36	0.001138	0.001140	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Corynebacterium glaucum	1	187491	187491	36	0.001138	0.001140	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Cloacibacterium normanense	1	237258	237258	35	0.001106	0.001108	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
Kaistella carnis	1	1241979	1241979	35	0.001106	0.001108	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
Lacrimispora sp.	1	3375704	3375704	35	0.001106	0.001108	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora
Planctomicrobium sp.	4	3448124	3448124;3448125;3448123;3448126	35	0.001106	0.001108	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomicrobium
Paracoccus jeotgali	1	2065379	2065379	34	0.001074	0.001076	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Rugositalea oryzae	1	674703	674703	34	0.001074	0.001076	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rugositalea
Halomonas sp.	5	2883106	2883106;3036127;3397245;1609967;3394321	34	0.001074	0.001076	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
Brachybacterium vulturis	1	2017484	2017484	33	0.001043	0.001045	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Brachybacterium
Comamonas sediminis	1	1783360	1783360	33	0.001043	0.001045	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Microlunatus elymi	1	2596828	2596828	33	0.001043	0.001045	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus
Pollutimonas thiosulfatoxidans	1	2028345	2028345	33	0.001043	0.001045	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pollutimonas
Thermomonas aquatica	1	2202149	2202149	33	0.001043	0.001045	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Thermomonas
Cupriavidus sp.	6	3241601	3241601;2937856;3384241;3406459;2884455;1389192	33	0.001043	0.001045	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus
Microbacterium sp.	10	3157631	3157631;3142976;3469809;3026081;1916917;2606451;2567934;3160749;2734618;2103230	33	0.001043	0.001045	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Arcobacter suis	1	1278212	1278212	32	0.001011	0.001013	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Arcobacter
Desulfovibrio legallii	1	571438	571438	32	0.001011	0.001013	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Maioricimonas rarisocia	1	2528026	2528026	32	0.001011	0.001013	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Maioricimonas
Marnyiella aurantia	1	2758037	2758037	32	0.001011	0.001013	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Marnyiella
Nitrogeniibacter mangrovi	1	2016596	2016596	32	0.001011	0.001013	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Nitrogeniibacter
Brachybacterium huguangmaarense	1	1652028	1652028	31	0.000980	0.000981	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Brachybacterium
Ectopseudomonas oleovorans	1	301	301	31	0.000980	0.000981	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
Planctellipticum variicoloris	1	3064265	3064265	31	0.000980	0.000981	cellular organisms;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctellipticum
Acinetobacter dispersus	1	70348	70348	30	0.000948	0.000950	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Burkholderia gladioli	1	28095	28095	30	0.000948	0.000950	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Chryseobacterium arthrosphaerae	1	651561	651561	30	0.000948	0.000950	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Elizabethkingia anophelis	1	1117645	1117645	30	0.000948	0.000950	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia
Pseudomonas eucalypticola	1	2599595	2599595	30	0.000948	0.000950	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Anaerocolumna cellulosilytica	1	433286	433286	29	0.000916	0.000918	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna
Mycolicibacterium phlei	1	1771	1771	28	0.000885	0.000886	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Pseudomonas syringae	1	317	317	28	0.000885	0.000886	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Steroidobacter denitrificans	1	465721	465721	28	0.000885	0.000886	cellular organisms;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter
Selenomonas sp.	3	1884263	1884263;712538;713030	28	0.000885	0.000886	cellular organisms;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas
Mesorhizobium sp.	12	2744520	2744520;2744515;2865837;2744516;2865838;2865839;3445772;2589888;2777475;2493673;2493671;2493676	27	0.000853	0.000855	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
Mycobacterium sp.	11	212767	212767;2867005;3475974;3383487;3122055;2991729;3145017;3457577;1545728;3317307;2857060	27	0.000853	0.000855	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
Acinetobacter chinensis	1	2004650	2004650	26	0.000822	0.000823	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Klebsiella quasivariicola	1	2026240	2026240	26	0.000822	0.000823	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
Mixta calida	1	665913	665913	26	0.000822	0.000823	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
Mycobacterium gallinarum	1	39689	39689	26	0.000822	0.000823	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
Mycolicibacterium parafortuitum	1	39692	39692	26	0.000822	0.000823	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Xanthobacter dioxanivorans	1	2528964	2528964	26	0.000822	0.000823	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Xanthobacter
Elizabethkingia bruuniana	1	1756149	1756149	25	0.000790	0.000791	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia
Microbacterium aurantiacum	1	162393	162393	25	0.000790	0.000791	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium
Mucilaginibacter sp.	4	3416711	3416711;3029053;2929803;2778902	25	0.000790	0.000791	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter
Epilithonimonas sp.	2	3465238	3465238;3350167	24	0.000758	0.000760	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Epilithonimonas
Aquibium oceanicum	1	1670800	1670800	23	0.000727	0.000728	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquibium
Bradyrhizobium icense	1	1274631	1274631	23	0.000727	0.000728	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Chitinibacter bivalviorum	1	2739434	2739434	23	0.000727	0.000728	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Chitinibacter
Mycolicibacterium hassiacum	1	46351	46351	23	0.000727	0.000728	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Occultella kanbiaonis	1	2675754	2675754	23	0.000727	0.000728	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Ruaniaceae;Occultella
Prevotella herbatica	1	2801997	2801997	23	0.000727	0.000728	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Aeromonas encheleia	1	73010	73010	22	0.000695	0.000696	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
Bradyrhizobium barranii	1	2992140	2992140	22	0.000695	0.000696	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Citrobacter werkmanii	1	67827	67827	22	0.000695	0.000696	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
Corynebacterium frankenforstense	1	1230998	1230998	22	0.000695	0.000696	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Corynebacterium halotolerans	1	225326	225326	22	0.000695	0.000696	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Inhella inkyongensis	1	392593	392593	22	0.000695	0.000696	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Inhella
Massilia putida	1	1141883	1141883	22	0.000695	0.000696	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
Bacteroides difficilis	1	2763021	2763021	21	0.000664	0.000665	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Corynebacterium freneyi	1	134034	134034	21	0.000664	0.000665	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Glutamicibacter nicotianae	1	37929	37929	21	0.000664	0.000665	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Glutamicibacter
Niveispirillum cyanobacteriorum	1	1612173	1612173	21	0.000664	0.000665	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Niveispirillum
Saccharothrix syringae	1	103733	103733	21	0.000664	0.000665	cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix
Mycolicibacterium sp.	5	3042320	3042320;2908837;3457578;3056937;3378074	21	0.000664	0.000665	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Arthrobacter sp.	14	1652545	1652545;2575374;3457706;2991715;2937807;2937809;3043847;290399;2879619;2830997;2861279;2565366;1849032;2937818	21	0.000664	0.000665	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Arthrobacter
Advenella mimigardefordensis	1	302406	302406	20	0.000632	0.000633	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Advenella
Draconibacterium orientale	1	1168034	1168034	20	0.000632	0.000633	cellular organisms;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium
Ectopseudomonas mendocina	1	300	300	20	0.000632	0.000633	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Ectopseudomonas
