query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Illumina_llnl_66ce4dde,phylum,4.7296480616325684e-05,d__Bacteria;p__Acidobacteriota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,4.083387778503717e-05,45000,0.7252343222434573,1199984
Illumina_llnl_66ce4dde,phylum,1.0510329025850152e-05,d__Bacteria;p__Patescibacteriota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,8.333444445925946e-06,10000,0.690886931427463,1199984
Illumina_llnl_66ce4dde,phylum,9.459296123265137e-06,d__Bacteria;p__Cyanobacteriota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,8.333444445925946e-06,9000,0.6885427816535824,1199984
Illumina_llnl_66ce4dde,phylum,6.306197415510092e-06,d__Archaea;p__Halobacteriota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,5.000066667555567e-06,6000,0.6795956127218394,1199984
Illumina_llnl_66ce4dde,phylum,4.204131610340062e-06,d__Bacteria;p__Omnitrophota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,3.333377778370378e-06,4000,0.6707647064741682,1199984
Illumina_llnl_66ce4dde,phylum,4.204131610340062e-06,d__Bacteria;p__Nitrospirota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,3.333377778370378e-06,4000,0.6707647064741682,1199984
Illumina_llnl_66ce4dde,phylum,1.0510329025850155e-06,d__Bacteria;p__Hinthialibacterota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,3.333377778370378e-06,1000,0.6414294757556854,1199984
Illumina_llnl_66ce4dde,phylum,3.1530987077550464e-06,d__Bacteria;p__Desulfobacterota_B,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,2.5000333337777837e-06,3000,0.6645687590245412,1199984
Illumina_llnl_66ce4dde,phylum,3.1530987077550464e-06,d__Bacteria;p__Latescibacterota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,2.5000333337777837e-06,3000,0.6645687590245412,1199984
Illumina_llnl_66ce4dde,phylum,3.1530987077550464e-06,d__Bacteria;p__Armatimonadota,8abbb20d,/scratch/sp96859/Meta-genome-data-analysis/Apptainer/simulated-data-validation/data/CDC_simulated/Illumina_llnl_66ce4dde_R2.fastq.gz,2.5000333337777837e-06,3000,0.6645687590245412,1199984
