Sample_Taxid	clade_fragments_covered	abundance	rank	name
Illumina_CDC_1784	1.0	0.0	S	Mycobacterium simiae
Illumina_CDC_1789	1.0	0.0	S	Mycobacterium xenopi
Illumina_CDC_220927	2.0	0.0	S	Mycobacterium saskatchewanense
Illumina_CDC_200451	35.0	0.0	S	Pseudomonas poae
Illumina_CDC_1795	11.0	0.0	S	Mycolicibacterium neoaurum
Illumina_CDC_102148	1.0	0.0	S	Solobacterium moorei
Illumina_CDC_1797	13.0	0.0	S	Mycolicibacterium thermoresistibile
Illumina_CDC_1802	3.0	0.0	S	Mycolicibacterium farcinogenes
Illumina_CDC_71452	2.0	0.0	S	Enterococcus raffinosus
Illumina_CDC_1824	12.0	0.0	S	Nocardia asteroides
Illumina_CDC_28450	18.0	0.0	S	Burkholderia pseudomallei
Illumina_CDC_1828	8.0	0.0	S	Rhodococcus fascians
Illumina_CDC_169765	1.0	0.0	S	Mycobacterium lacus
Illumina_CDC_1829	4.0	0.0	S	Rhodococcus rhodochrous
Illumina_CDC_28454	5.0	0.0	S	Sphingobacterium multivorum
Illumina_CDC_1833	1.0	0.0	S	Rhodococcus erythropolis
Illumina_CDC_1852	4.0	0.0	S	Saccharomonospora viridis
Illumina_CDC_343874	1.0	0.0	S	Empedobacter falsenii
Illumina_CDC_87883	61.0	0.0	S	Burkholderia multivorans
Illumina_CDC_1503054	10.0	0.0	S	Burkholderia stagnalis
Illumina_CDC_1888	7.0	0.0	S	Streptomyces albus
Illumina_CDC_1300342	14.0	0.0	S1	Dokdonella koreensis DS-123
Illumina_CDC_462710	2.0	0.0	S	Microbacterium binotii
Illumina_CDC_1911	2.0	0.0	S	Streptomyces griseus
Illumina_CDC_544645	2.0	0.0	S	Butyricimonas virosa
Illumina_CDC_44935	1.0	0.0	S	Vreelandella venusta
Illumina_CDC_2058152	11.0	0.0	S	Klebsiella grimontii
Illumina_CDC_110505	1.0	0.0	S	Mycobacterium heckeshornense
Illumina_CDC_55211	5.0	0.0	S	Erwinia persicina
Illumina_CDC_370622	1.0	0.0	S	Aureimonas altamirensis
Illumina_CDC_108486	2.0	0.0	S	Corynebacterium falsenii
Illumina_CDC_36808	1.0	0.0	S	Corynebacterium bovis
Illumina_CDC_36809	10.0	0.0	S	Mycobacteroides abscessus
Illumina_CDC_1993	2.0	0.0	S	Actinomadura madurae
Illumina_CDC_36814	10.0	0.0	S	Mycolicibacterium rhodesiae
Illumina_CDC_36821	1.0	0.0	S	Gordonia amarae
Illumina_CDC_36822	2.0	0.0	S	Gordonia rubripertincta
Illumina_CDC_198620	16.0	0.0	S	Pseudomonas koreensis
Illumina_CDC_2014	1.0	0.0	S	Nocardiopsis dassonvillei
Illumina_CDC_169963	1.0	0.0	S1	Listeria monocytogenes EGD-e
Illumina_CDC_2035	8.0	0.0	S	Curtobacterium flaccumfaciens
Illumina_CDC_1118202	7.0	0.0	S	Cruoricaptor ignavus
Illumina_CDC_1882682	151385.0	3.03	S	Microvirga ossetica
Illumina_CDC_372663	141662.0	2.83	S	Isoptericola dokdonensis
Illumina_CDC_593909	132735.0	2.66	S	Mesorhizobium opportunistum
Illumina_CDC_2067960	126012.0	2.52	S	Pseudazoarcus pumilus
Illumina_CDC_1868793	124959.0	2.5	S	Jeotgalibaca porci
Illumina_CDC_1891644	102146.0	2.04	S	Epidermidibacterium keratini
Illumina_CDC_2527983	95431.0	1.91	S	Caulifigura coniformis
Illumina_CDC_43948	95086.0	1.9	S	Tolumonas auensis
Illumina_CDC_29405	84160.0	1.68	S	Microlunatus phosphovorus
Illumina_CDC_61648	82774.0	1.66	S	Kluyvera intermedia
