Sample_Taxid	clade_fragments_covered	abundance	rank	name
Illumina_CDC_108981	23.0	0.0	S	Acinetobacter schindleri
Illumina_CDC_446	1.0	0.0	S	Legionella pneumophila
Illumina_CDC_154046	2.0	0.0	S	Hungatella hathewayi
Illumina_CDC_449	1.0	0.0	S	Legionella hackeliae
Illumina_CDC_319939	26.0	0.0	S	Pseudomonas otitidis
Illumina_CDC_37326	3.0	0.0	S	Nocardia brasiliensis
Illumina_CDC_37329	1.0	0.0	S	Nocardia farcinica
Illumina_CDC_37330	2.0	0.0	S	Nocardia nova
Illumina_CDC_470	45.0	0.0	S	Acinetobacter baumannii
Illumina_CDC_471	6.0	0.0	S	Acinetobacter calcoaceticus
Illumina_CDC_472	1.0	0.0	S	Acinetobacter sp.
Illumina_CDC_332249	9101.0	0.18	S	Truepera radiovictrix
Illumina_CDC_485	10.0	0.0	S	Neisseria gonorrhoeae
Illumina_CDC_487	3.0	0.0	S	Neisseria meningitidis
Illumina_CDC_207340	12.0	0.0	S	Roseomonas mucosa
Illumina_CDC_493	1.0	0.0	S	Neisseria canis
Illumina_CDC_78327	71.0	0.0	S	Pseudomonas mosselii
Illumina_CDC_511	24.0	0.0	S	Alcaligenes faecalis
Illumina_CDC_518	10.0	0.0	S	Bordetella bronchiseptica
Illumina_CDC_519	2.0	0.0	S	Bordetella parapertussis
Illumina_CDC_520	2.0	0.0	S	Bordetella pertussis
Illumina_CDC_521	9.0	0.0	S	Bordetella avium
Illumina_CDC_1045010	1.0	0.0	S1	Escherichia coli O157
Illumina_CDC_168471	7.0	0.0	S	Laribacter hongkongensis
Illumina_CDC_536	213.0	0.0	S	Chromobacterium violaceum
Illumina_CDC_539	3.0	0.0	S	Eikenella corrodens
Illumina_CDC_545	6.0	0.0	S	Citrobacter koseri
Illumina_CDC_195105	1.0	0.0	S	Haematobacter massiliensis
Illumina_CDC_548	49.0	0.0	S	Klebsiella aerogenes
Illumina_CDC_549	23.0	0.0	S	Pantoea agglomerans
Illumina_CDC_550	52.0	0.0	S	Enterobacter cloacae
Illumina_CDC_553	12.0	0.0	S	Pantoea ananatis
Illumina_CDC_2607663	1.0	0.0	S	Yersinia canariae
Illumina_CDC_564	23.0	0.0	S	Escherichia fergusonii
Illumina_CDC_565	3.0	0.0	S	Atlantibacter hermannii
Illumina_CDC_566	3.0	0.0	S	Pseudescherichia vulneris
Illumina_CDC_571	44.0	0.0	S	Klebsiella oxytoca
Illumina_CDC_47678	5.0	0.0	S	Bacteroides caccae
Illumina_CDC_575	19.0	0.0	S	Raoultella planticola
Illumina_CDC_580	16.0	0.0	S	Kluyvera cryocrescens
Illumina_CDC_582	16.0	0.0	S	Morganella morganii
Illumina_CDC_584	12.0	0.0	S	Proteus mirabilis
